nodes,duration_s,sent,delivered,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,drop_no_route,drop_link,route_changes,backbone_nodes
10,120.0,46,14,0.30434782608695654,1.0714285714285714,0.07142857142857142,114,79,32,0,326,1
20,120.0,46,16,0.34782608695652173,1.75,0.75,207,154,29,0,1374,0
30,120.0,46,25,0.5434782608695652,2.36,1.36,261,234,21,0,4369,3
40,120.0,46,27,0.5869565217391305,2.111111111111111,1.1111111111111112,333,315,18,0,6804,1
50,120.0,46,25,0.5434782608695652,1.84,0.84,405,393,21,0,11089,2
60,120.0,46,19,0.41304347826086957,1.5789473684210527,0.5789473684210527,484,471,27,0,13329,1
70,120.0,46,20,0.43478260869565216,1.55,0.55,563,550,25,0,17114,1
80,120.0,46,16,0.34782608695652173,1.625,0.625,641,630,29,0,23363,2
90,120.0,46,18,0.391304347826087,1.7222222222222223,0.7222222222222222,720,710,28,0,28181,1
100,120.0,46,21,0.45652173913043476,1.4761904761904763,0.47619047619047616,800,782,24,0,34140,1
