t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,backbone_nodes
0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.0,0.0,0.0,47,0,0,0
2.0,0.0,0.0,0.0,100,0,940,0
3.0,0.0,0.0,0.0,100,37,2036,0
4.0,0.0,0.0,0.0,100,64,2935,0
5.0,0.0,0.0,0.0,100,100,3364,0
6.0,0.0,0.0,0.0,100,100,3751,0
7.0,1.0,1.0,0.0,100,100,3751,0
8.0,1.0,1.0,0.0,100,100,3751,0
9.0,0.5,1.0,0.0,100,100,3751,0
10.0,0.5,1.0,0.0,119,100,3751,0
11.0,0.6666666666666666,1.5,0.5,145,100,4147,0
12.0,0.6666666666666666,1.5,0.5,177,100,4650,0
13.0,1.0,1.6666666666666667,0.6666666666666666,200,100,5301,0
14.0,0.75,1.6666666666666667,0.6666666666666666,200,100,5787,0
15.0,1.0,1.5,0.5,200,100,5787,0
16.0,0.8,1.5,0.5,200,100,5787,1
17.0,0.8,1.5,0.5,200,105,5787,1
18.0,0.8,1.5,0.5,200,116,5906,1
19.0,0.6666666666666666,1.5,0.5,200,136,6537,1
20.0,0.8333333333333334,1.4,0.4,200,163,7298,1
21.0,0.7142857142857143,1.4,0.4,200,186,7683,1
22.0,0.7142857142857143,1.4,0.4,200,195,7942,1
23.0,0.7142857142857143,1.4,0.4,200,200,7986,1
24.0,0.625,1.4,0.4,200,200,8090,1
25.0,0.625,1.4,0.4,200,200,8201,1
26.0,0.5555555555555556,1.4,0.4,206,200,8201,1
27.0,0.5555555555555556,1.4,0.4,221,200,8308,1
28.0,0.6666666666666666,1.5,0.5,249,200,8587,1
29.0,0.6,1.5,0.5,277,200,9152,1
30.0,0.7,1.4285714285714286,0.42857142857142855,294,200,9753,1
31.0,0.6363636363636364,1.4285714285714286,0.42857142857142855,300,201,10102,1
32.0,0.7272727272727273,1.375,0.375,300,204,10255,1
33.0,0.7272727272727273,1.375,0.375,300,208,10397,1
34.0,0.6666666666666666,1.375,0.375,300,218,10692,1
35.0,0.6666666666666666,1.375,0.375,300,241,11007,1
36.0,0.6153846153846154,1.375,0.375,300,259,11824,1
37.0,0.6153846153846154,1.375,0.375,300,277,12087,1
38.0,0.6153846153846154,1.375,0.375,300,292,12343,1
39.0,0.5714285714285714,1.375,0.375,300,298,12453,1
40.0,0.5714285714285714,1.375,0.375,300,299,12556,1
41.0,0.5333333333333333,1.375,0.375,300,300,12559,1
42.0,0.6,1.3333333333333333,0.3333333333333333,305,300,12585,1
43.0,0.6,1.3333333333333333,0.3333333333333333,313,300,12727,1
44.0,0.5625,1.3333333333333333,0.3333333333333333,326,300,12893,1
45.0,0.625,1.3,0.3,349,301,13139,1
46.0,0.5882352941176471,1.3,0.3,372,301,13631,1
47.0,0.5882352941176471,1.3,0.3,392,302,14100,1
48.0,0.5882352941176471,1.3,0.3,398,304,14516,1
49.0,0.5555555555555556,1.3,0.3,400,309,14828,1
50.0,0.5555555555555556,1.3,0.3,400,326,15216,1
51.0,0.5263157894736842,1.3,0.3,400,340,15733,1
52.0,0.5263157894736842,1.3,0.3,400,361,16218,1
53.0,0.5789473684210527,1.3636363636363635,0.36363636363636365,400,377,16449,1
54.0,0.55,1.3636363636363635,0.36363636363636365,400,386,16648,1
55.0,0.6,1.3333333333333333,0.3333333333333333,400,396,16914,1
56.0,0.5714285714285714,1.3333333333333333,0.3333333333333333,400,400,17001,1
57.0,0.6190476190476191,1.3076923076923077,0.3076923076923077,400,400,17034,1
58.0,0.6190476190476191,1.3076923076923077,0.3076923076923077,403,400,17103,1
59.0,0.5909090909090909,1.3076923076923077,0.3076923076923077,407,400,17146,1
60.0,0.5909090909090909,1.3076923076923077,0.3076923076923077,412,401,17213,1
61.0,0.5652173913043478,1.3076923076923077,0.3076923076923077,426,401,17315,1
62.0,0.5652173913043478,1.3076923076923077,0.3076923076923077,454,401,17597,1
63.0,0.5652173913043478,1.3076923076923077,0.3076923076923077,473,402,18188,1
64.0,0.5416666666666666,1.3076923076923077,0.3076923076923077,486,406,18589,1
65.0,0.5416666666666666,1.3076923076923077,0.3076923076923077,496,416,18990,1
66.0,0.52,1.3076923076923077,0.3076923076923077,500,431,19740,1
67.0,0.52,1.3076923076923077,0.3076923076923077,500,448,20169,1
68.0,0.56,1.3571428571428572,0.35714285714285715,500,463,20604,1
69.0,0.5384615384615384,1.3571428571428572,0.35714285714285715,500,473,20922,1
70.0,0.5384615384615384,1.3571428571428572,0.35714285714285715,500,482,21023,1
71.0,0.5555555555555556,1.4,0.4,500,490,21087,1
72.0,0.5555555555555556,1.4,0.4,500,495,21298,1
73.0,0.5555555555555556,1.4,0.4,500,499,21456,1
74.0,0.5357142857142857,1.4,0.4,500,501,21499,1
75.0,0.5357142857142857,1.4,0.4,504,501,21503,1
76.0,0.5517241379310345,1.4375,0.4375,507,501,21556,1
77.0,0.5517241379310345,1.4375,0.4375,514,501,21605,1
78.0,0.5517241379310345,1.4375,0.4375,532,501,21749,1
79.0,0.5333333333333333,1.4375,0.4375,557,501,22118,1
80.0,0.5666666666666667,1.411764705882353,0.4117647058823529,575,505,22629,1
81.0,0.5483870967741935,1.411764705882353,0.4117647058823529,584,522,23124,1
82.0,0.5483870967741935,1.411764705882353,0.4117647058823529,595,530,23866,1
83.0,0.5806451612903226,1.4444444444444444,0.4444444444444444,598,547,24405,1
84.0,0.5625,1.4444444444444444,0.4444444444444444,600,556,24724,1
85.0,0.5625,1.4444444444444444,0.4444444444444444,600,570,24907,1
86.0,0.5454545454545454,1.4444444444444444,0.4444444444444444,600,579,25216,1
87.0,0.5454545454545454,1.4444444444444444,0.4444444444444444,600,585,25540,1
88.0,0.5454545454545454,1.4444444444444444,0.4444444444444444,600,592,25603,1
89.0,0.5294117647058824,1.4444444444444444,0.4444444444444444,600,596,25764,1
90.0,0.5294117647058824,1.4444444444444444,0.4444444444444444,601,599,25862,1
91.0,0.5142857142857142,1.4444444444444444,0.4444444444444444,602,601,25879,1
92.0,0.5142857142857142,1.4444444444444444,0.4444444444444444,604,601,25922,1
93.0,0.5142857142857142,1.4444444444444444,0.4444444444444444,607,601,25953,1
94.0,0.5,1.4444444444444444,0.4444444444444444,618,603,25999,1
