node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,129,234,19,0,3
1,leaf,128,237,14,0,5
2,leaf,61,135,20,2,3
3,leaf,124,247,16,0,4
4,leaf,116,243,21,81,3
5,leaf,35,37,21,0,1
6,backbone,127,240,10,0,0
7,leaf,22,37,21,0,1
8,leaf,96,167,20,7,3
9,leaf,127,239,12,0,0
10,leaf,115,162,20,8,2
11,backbone,114,200,21,42,2
12,leaf,31,39,20,0,1
13,backbone,40,81,20,0,2
14,leaf,96,235,21,1,4
15,backbone,82,210,21,0,3
16,leaf,115,269,16,27,4
17,leaf,47,83,21,1,2
18,backbone,39,71,20,0,2
19,backbone,77,141,20,2,2
20,leaf,29,41,20,0,1
21,backbone,40,78,21,0,2
22,leaf,81,82,20,15,2
23,backbone,71,228,20,0,5
24,leaf,120,257,10,0,0
25,leaf,41,78,21,1,2
26,backbone,41,58,20,0,1
27,leaf,36,69,21,0,2
28,leaf,46,72,21,0,2
29,leaf,93,105,21,25,1
