t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,0,0,0,0,0,0
6.0,0.0,0.0,0.0,5,0,0,0,0,0
7.0,0.0,0.0,0.0,9,1,20,0,0,0
8.0,0.0,0.0,0.0,15,4,29,0,0,0
9.0,0.0,0.0,0.0,21,9,54,0,0,0
10.0,0.0,0.0,0.0,25,13,76,0,0,0
11.0,0.0,0.0,0.0,27,16,92,0,0,0
12.0,0.0,0.0,0.0,30,20,98,0,0,0
13.0,0.0,0.0,0.0,30,20,106,0,0,0
14.0,0.0,0.0,0.0,30,20,106,0,0,0
15.0,0.0,0.0,0.0,30,20,106,0,0,0
16.0,0.0,0.0,0.0,30,20,106,0,0,0
17.0,0.0,0.0,0.0,30,20,106,0,0,0
18.0,0.0,0.0,0.0,30,20,106,0,0,0
19.0,0.0,0.0,0.0,35,22,106,0,0,0
20.0,0.0,0.0,0.0,37,26,129,0,0,0
21.0,0.0,0.0,0.0,39,30,139,0,0,0
22.0,0.0,0.0,0.0,45,31,168,0,0,0
23.0,0.0,0.0,0.0,47,32,169,0,0,0
24.0,0.0,0.0,0.0,48,37,190,0,0,0
25.0,0.0,0.0,0.0,55,42,196,0,0,0
26.0,0.0,0.0,0.0,57,44,262,0,0,0
27.0,0.0,0.0,0.0,59,46,267,0,0,0
28.0,0.0,0.0,0.0,60,48,268,0,0,0
29.0,0.0,0.0,0.0,60,48,275,0,0,0
30.0,0.0,0.0,0.0,60,48,275,0,0,0
31.0,0.0,0.0,0.0,60,48,275,0,0,0
32.0,0.0,0.0,0.0,61,48,275,0,0,0
33.0,0.0,0.0,0.0,62,49,275,0,0,0
34.0,0.0,0.0,0.0,64,50,275,0,0,0
35.0,0.0,0.0,0.0,67,53,275,0,0,0
36.0,0.0,0.0,0.0,71,58,312,0,0,0
37.0,0.0,0.0,0.0,75,59,336,0,0,0
38.0,0.0,0.0,0.0,80,64,344,0,0,0
39.0,0.0,0.0,0.0,83,66,371,0,0,0
40.0,0.0,0.0,0.0,87,67,371,0,0,0
41.0,0.0,0.0,0.0,87,72,371,0,0,0
42.0,0.0,0.0,0.0,90,75,385,0,0,0
43.0,0.0,0.0,0.0,90,76,393,0,0,0
44.0,0.0,0.0,0.0,90,77,399,0,0,0
45.0,0.0,0.0,0.0,90,77,409,0,0,0
46.0,0.0,0.0,0.0,90,77,409,4,0,0
47.0,33.333333,0.0,1.0,91,77,409,6,2,0
48.0,44.444444,2.0,1.0,93,77,409,9,4,0
49.0,81.818182,2.0,1.444444,94,80,409,11,9,0
50.0,78.571429,2.0,1.363636,100,81,409,14,11,2
51.0,87.5,2.0,1.285714,102,84,420,16,14,2
52.0,80.0,2.0,1.25,106,87,438,20,16,2
53.0,90.909091,2.0,1.2,108,89,443,22,20,2
54.0,84.615385,2.0,1.181818,116,91,445,26,22,2
55.0,92.857143,2.0,1.153846,118,94,465,28,26,2
56.0,87.5,2.0,1.142857,118,98,465,32,28,2
57.0,94.117647,2.0,1.125,119,101,475,34,32,2
58.0,89.473684,2.0,1.117647,119,102,475,38,34,2
59.0,95.0,2.0,1.105263,120,102,475,40,38,2
60.0,90.909091,2.0,1.1,120,103,475,44,40,2
61.0,95.652174,2.0,1.090909,120,103,475,46,44,2
62.0,92.0,2.0,1.086957,121,104,475,50,46,2
63.0,96.153846,2.0,1.08,127,106,476,52,50,2
64.0,92.857143,2.0,1.076923,128,107,480,56,52,2
65.0,96.551724,2.0,1.071429,130,107,494,58,56,2
66.0,93.548387,2.0,1.068966,132,111,495,62,58,2
67.0,96.875,2.0,1.064516,138,112,549,64,62,2
68.0,94.117647,2.0,1.0625,145,117,550,68,64,2
69.0,95.774648,2.0,1.058824,147,120,577,71,68,2
70.0,93.333333,2.0,1.057143,148,121,577,75,70,2
71.0,97.402597,2.0,1.066667,148,123,577,77,75,2
72.0,95.061728,2.0,1.064935,149,125,585,81,77,2
73.0,96.428571,2.026667,1.061728,149,128,585,84,81,2
74.0,94.318182,2.025316,1.060241,149,128,631,88,83,2
75.0,95.652174,2.024691,1.068182,150,130,631,92,88,2
76.0,95.833333,2.023529,1.065217,152,132,631,96,92,2
77.0,96.0,2.044444,1.0625,153,132,631,100,96,2
78.0,95.192308,2.042553,1.060606,155,132,631,104,99,2
79.0,96.296296,2.041237,1.067308,160,134,631,108,104,2
80.0,96.428571,2.039604,1.064815,162,135,631,112,108,2
81.0,96.551724,2.056604,1.0625,165,138,631,116,112,2
82.0,95.833333,2.054545,1.06087,173,141,679,120,115,2
83.0,96.774194,2.053097,1.066667,173,144,685,124,120,2
84.0,96.875,2.051282,1.064516,174,146,699,128,124,2
85.0,95.454545,2.049587,1.063492,178,149,700,132,126,3
86.0,95.555556,2.04878,1.062016,179,150,722,135,129,3
87.0,97.101449,2.047619,1.089552,179,153,724,138,134,3
88.0,97.183099,2.046512,1.101449,180,154,761,142,138,5
