node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,128,236,19,0,3
1,leaf,128,237,14,0,5
2,leaf,61,135,20,2,3
3,leaf,124,247,16,0,4
4,leaf,115,243,20,79,3
5,leaf,34,37,20,0,1
6,backbone,127,240,10,0,0
7,leaf,22,37,21,0,1
8,leaf,96,168,20,7,3
9,leaf,127,239,12,0,0
10,leaf,113,158,20,11,2
11,backbone,114,199,21,41,2
12,leaf,32,39,20,0,1
13,backbone,40,80,21,0,2
14,leaf,95,232,21,0,5
15,backbone,81,208,21,0,3
16,leaf,115,269,16,27,4
17,leaf,42,80,21,1,2
18,backbone,40,72,21,0,2
19,backbone,76,140,20,2,3
20,leaf,29,41,20,0,1
21,backbone,40,78,21,0,2
22,leaf,82,82,20,16,2
23,leaf,69,221,20,2,5
24,leaf,120,257,10,0,0
25,leaf,41,77,21,1,2
26,backbone,40,58,20,0,1
27,leaf,35,69,20,0,2
28,leaf,45,68,21,3,2
29,leaf,96,104,21,52,1
