t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,0,0,0,0,0,0
6.0,0.0,0.0,0.0,5,0,0,0,0,0
7.0,0.0,0.0,0.0,9,2,17,0,0,0
8.0,0.0,0.0,0.0,15,5,32,0,0,0
9.0,0.0,0.0,0.0,21,9,54,0,0,0
10.0,0.0,0.0,0.0,25,13,71,0,0,0
11.0,0.0,0.0,0.0,27,16,88,0,0,0
12.0,0.0,0.0,0.0,30,20,96,0,0,0
13.0,0.0,0.0,0.0,30,20,106,0,0,0
14.0,0.0,0.0,0.0,30,20,106,0,0,0
15.0,0.0,0.0,0.0,30,20,106,0,0,0
16.0,0.0,0.0,0.0,30,20,106,0,0,0
17.0,0.0,0.0,0.0,30,20,106,0,0,0
18.0,0.0,0.0,0.0,30,20,106,0,0,0
19.0,0.0,0.0,0.0,35,22,106,0,0,0
20.0,0.0,0.0,0.0,37,26,108,0,0,0
21.0,0.0,0.0,0.0,39,31,144,0,0,0
22.0,0.0,0.0,0.0,45,33,230,0,0,0
23.0,0.0,0.0,0.0,47,36,256,0,0,0
24.0,0.0,0.0,0.0,48,40,281,0,0,0
25.0,0.0,0.0,0.0,55,44,328,0,0,0
26.0,0.0,0.0,0.0,57,46,385,0,0,0
27.0,0.0,0.0,0.0,59,48,410,0,0,0
28.0,0.0,0.0,0.0,60,50,466,0,0,0
29.0,0.0,0.0,0.0,60,50,478,0,0,0
30.0,0.0,0.0,0.0,60,50,478,0,0,0
31.0,0.0,0.0,0.0,60,50,478,0,0,0
32.0,0.0,0.0,0.0,61,50,478,0,0,0
33.0,0.0,0.0,0.0,62,52,478,0,0,0
34.0,0.0,0.0,0.0,64,53,486,0,0,0
35.0,0.0,0.0,0.0,68,56,508,0,0,0
36.0,0.0,0.0,0.0,71,60,578,0,0,0
37.0,0.0,0.0,0.0,72,64,600,0,0,0
38.0,0.0,0.0,0.0,80,67,658,0,0,0
39.0,0.0,0.0,0.0,83,70,680,0,0,0
40.0,0.0,0.0,0.0,86,72,701,0,0,0
41.0,0.0,0.0,0.0,87,76,708,0,0,0
42.0,0.0,0.0,0.0,90,78,715,0,0,0
43.0,0.0,0.0,0.0,90,79,717,0,0,0
44.0,0.0,0.0,0.0,90,80,721,0,0,0
45.0,0.0,0.0,0.0,90,80,722,0,0,0
46.0,0.0,0.0,0.0,90,80,722,4,0,0
47.0,37.5,0.0,1.0,91,80,722,8,3,0
48.0,77.777778,2.0,1.142857,93,80,722,9,7,0
49.0,90.0,2.0,1.222222,95,82,722,10,9,0
50.0,76.923077,2.25,1.2,98,90,723,13,10,0
51.0,81.25,2.222222,1.153846,103,90,729,16,13,1
52.0,77.777778,2.166667,1.142857,104,93,729,18,14,1
53.0,94.736842,2.153846,1.222222,108,97,729,19,18,1
54.0,95.0,2.133333,1.210526,113,100,732,20,19,1
55.0,95.238095,2.235294,1.2,117,103,734,21,20,2
56.0,95.454545,2.222222,1.190476,118,106,734,22,21,2
57.0,95.652174,2.210526,1.181818,119,108,734,23,22,2
58.0,95.833333,2.2,1.173913,119,109,735,24,23,2
59.0,96.0,2.190476,1.166667,120,109,735,25,24,2
60.0,96.153846,2.181818,1.16,121,110,735,26,25,2
61.0,96.296296,2.173913,1.153846,121,110,747,27,26,2
62.0,96.428571,2.166667,1.148148,122,112,747,28,27,2
63.0,96.551724,2.16,1.142857,126,114,747,29,28,2
64.0,96.666667,2.153846,1.137931,129,115,772,30,29,2
65.0,96.774194,2.148148,1.133333,130,120,772,31,30,2
66.0,91.176471,2.142857,1.129032,130,122,773,34,31,2
67.0,91.428571,2.137931,1.125,141,126,773,35,32,2
68.0,97.222222,2.133333,1.171429,143,128,777,36,35,2
69.0,97.297297,2.129032,1.166667,144,129,777,37,36,2
70.0,92.5,2.235294,1.162162,145,133,777,40,37,2
71.0,92.682927,2.228571,1.157895,147,134,785,41,38,2
72.0,97.619048,2.222222,1.195122,148,136,785,42,41,2
73.0,97.674419,2.216216,1.190476,149,139,785,43,42,2
74.0,93.478261,2.3,1.186047,149,139,795,46,43,2
75.0,93.617021,2.292683,1.181818,152,140,795,47,44,2
76.0,97.916667,2.285714,1.212766,152,142,795,48,47,2
77.0,97.959184,2.27907,1.208333,153,143,795,49,48,2
78.0,94.230769,2.347826,1.204082,156,146,799,52,49,2
79.0,94.339623,2.340426,1.2,159,148,804,53,50,2
80.0,98.148148,2.333333,1.226415,163,150,804,54,53,2
81.0,96.428571,2.326531,1.222222,164,153,804,56,54,2
82.0,98.245614,2.384615,1.214286,170,156,804,57,56,2
83.0,96.610169,2.37037,1.210526,172,159,807,59,57,2
84.0,98.333333,2.363636,1.20339,174,161,810,60,59,2
85.0,96.774194,2.350877,1.2,175,164,810,62,60,2
86.0,98.412698,2.344828,1.193548,175,167,810,63,62,2
87.0,96.923077,2.333333,1.190476,177,168,810,65,63,2
