dest,next_hop,hop_count,seq_num,last_update
4,56,9,0,101.000
5,56,12,0,101.000
6,56,4,0,101.000
7,56,11,0,101.000
8,56,5,0,101.000
14,56,6,0,101.000
19,56,4,0,101.000
22,56,5,0,101.000
23,56,4,0,101.000
26,56,3,0,101.000
27,56,7,0,101.000
28,56,8,0,101.000
34,56,2,0,101.000
35,56,8,0,101.000
36,56,6,0,101.000
38,56,3,0,101.000
39,56,9,0,101.000
40,56,12,0,101.000
42,56,10,0,101.000
43,56,4,0,101.000
44,56,8,0,101.000
45,56,4,0,101.000
47,56,7,0,101.000
50,56,11,0,101.000
51,56,6,0,101.000
54,56,5,0,115.000
56,56,1,0,102.000
61,56,7,0,115.000
62,56,12,0,101.000
63,56,12,0,101.000
66,56,9,0,101.000
69,56,8,0,101.000
72,72,0,0,0.000
73,56,12,0,115.000
79,56,5,0,101.000
81,56,7,0,52.000
83,56,3,0,23.000
88,56,6,0,52.000
