t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,0,0,0,0,0,0
6.0,0.0,0.0,0.0,2,0,0,0,0,0
7.0,0.0,0.0,0.0,3,0,7,0,0,0
8.0,0.0,0.0,0.0,5,3,11,0,0,0
9.0,0.0,0.0,0.0,7,4,19,0,0,0
10.0,0.0,0.0,0.0,9,4,23,0,0,0
11.0,0.0,0.0,0.0,9,5,30,0,0,0
12.0,0.0,0.0,0.0,10,6,30,0,0,0
13.0,0.0,0.0,0.0,10,6,34,0,0,0
14.0,0.0,0.0,0.0,10,6,34,0,0,0
15.0,0.0,0.0,0.0,10,6,34,0,0,0
16.0,0.0,0.0,0.0,10,6,34,0,0,0
17.0,0.0,0.0,0.0,10,6,34,0,0,0
18.0,0.0,0.0,0.0,10,6,34,0,0,0
19.0,0.0,0.0,0.0,10,6,34,0,0,0
20.0,0.0,0.0,0.0,11,7,34,0,0,0
21.0,0.0,0.0,0.0,12,9,43,0,0,0
22.0,0.0,0.0,0.0,13,11,55,0,0,0
23.0,0.0,0.0,0.0,15,12,55,0,0,0
24.0,0.0,0.0,0.0,17,12,62,0,0,0
25.0,0.0,0.0,0.0,19,13,62,0,0,0
26.0,0.0,0.0,0.0,19,13,63,0,0,0
27.0,0.0,0.0,0.0,19,14,63,0,0,0
28.0,0.0,0.0,0.0,20,15,68,0,0,0
29.0,0.0,0.0,0.0,20,15,68,0,0,0
30.0,0.0,0.0,0.0,20,15,68,0,0,0
31.0,0.0,0.0,0.0,20,15,68,0,0,0
32.0,0.0,0.0,0.0,20,15,68,0,0,0
33.0,0.0,0.0,0.0,20,16,68,0,0,0
34.0,0.0,0.0,0.0,20,16,72,0,0,0
35.0,0.0,0.0,0.0,22,17,72,0,0,0
36.0,0.0,0.0,0.0,24,18,72,0,0,0
37.0,0.0,0.0,0.0,25,20,76,0,0,0
38.0,0.0,0.0,0.0,26,21,76,0,0,0
39.0,0.0,0.0,0.0,27,22,76,0,0,0
40.0,0.0,0.0,0.0,28,23,76,0,0,0
41.0,0.0,0.0,0.0,29,23,77,0,0,0
42.0,0.0,0.0,0.0,29,23,77,0,0,0
43.0,0.0,0.0,0.0,30,24,77,0,0,0
44.0,0.0,0.0,0.0,30,24,77,0,0,0
45.0,0.0,0.0,0.0,30,24,77,0,0,0
46.0,0.0,0.0,0.0,30,24,77,4,0,0
47.0,75.0,0.0,1.0,30,24,77,4,3,0
48.0,57.142857,2.0,1.25,30,24,77,7,4,0
49.0,100.0,2.0,1.142857,30,25,77,7,7,0
50.0,63.636364,2.0,1.142857,32,28,77,11,7,1
51.0,72.727273,2.0,1.125,34,28,79,11,8,1
52.0,73.333333,2.0,1.363636,35,29,80,15,11,1
53.0,100.0,2.0,1.266667,37,31,81,15,15,1
54.0,78.947368,2.0,1.266667,38,31,81,19,15,4
55.0,89.473684,2.0,1.235294,39,32,82,19,17,4
56.0,82.608696,2.0,1.315789,39,32,83,23,19,4
57.0,100.0,2.0,1.26087,39,32,83,23,23,4
58.0,85.185185,2.0,1.26087,39,32,83,27,23,6
59.0,96.296296,2.0,1.230769,39,32,83,27,26,6
60.0,87.096774,2.0,1.259259,40,32,83,31,27,6
61.0,93.548387,2.0,1.241379,40,32,83,31,29,6
62.0,88.571429,2.0,1.290323,40,32,83,35,31,7
63.0,97.142857,2.0,1.264706,41,33,83,35,34,7
64.0,89.74359,2.0,1.285714,42,34,89,39,35,9
65.0,94.871795,2.0,1.27027,43,34,89,39,37,9
66.0,90.697674,2.0,1.307692,45,34,89,43,39,10
67.0,100.0,2.0,1.27907,46,35,89,43,43,10
68.0,91.489362,2.0,1.27907,48,36,89,47,43,12
69.0,97.87234,2.0,1.26087,49,36,91,47,46,12
70.0,92.156863,2.0,1.276596,49,37,91,51,47,12
71.0,98.039216,2.0,1.26,49,37,91,51,50,12
72.0,92.727273,2.0,1.27451,49,38,91,55,51,13
73.0,98.181818,2.0,1.259259,49,38,91,55,54,13
74.0,93.220339,2.0,1.272727,49,38,91,59,55,14
75.0,100.0,2.0,1.254237,50,38,91,59,59,14
76.0,93.650794,2.0,1.254237,50,38,91,63,59,15
77.0,100.0,2.0,1.238095,51,39,91,63,63,15
78.0,94.029851,2.0,1.238095,51,40,91,67,63,15
79.0,97.014925,2.0,1.230769,52,40,95,67,65,15
80.0,94.366197,2.0,1.253731,53,40,95,71,67,15
81.0,98.591549,2.0,1.242857,56,42,96,71,70,15
82.0,94.666667,2.0,1.253521,57,42,96,75,71,17
83.0,98.666667,2.0,1.243243,57,44,97,75,74,17
84.0,94.936709,2.0,1.253333,58,44,97,79,75,18
85.0,100.0,2.0,1.240506,59,44,97,79,79,18
86.0,95.180723,2.0,1.240506,59,45,97,83,79,19
87.0,98.795181,2.0,1.231707,59,46,102,83,82,19
88.0,96.511628,2.0,1.240964,59,46,102,86,83,19
89.0,100.0,2.0,1.232558,59,46,102,86,86,19
