t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,2,0,0,0,0,0
6.0,0.0,0.0,0.0,23,3,7,0,0,0
7.0,0.0,0.0,0.0,37,11,94,0,0,0
8.0,0.0,0.0,0.0,60,22,148,0,0,0
9.0,0.0,0.0,0.0,76,39,235,0,0,0
10.0,0.0,0.0,0.0,84,48,294,0,0,0
11.0,0.0,0.0,0.0,92,60,324,0,0,0
12.0,0.0,0.0,0.0,100,75,363,0,0,0
13.0,0.0,0.0,0.0,100,75,398,0,0,0
14.0,0.0,0.0,0.0,100,75,398,0,0,0
15.0,0.0,0.0,0.0,100,75,398,0,0,0
16.0,0.0,0.0,0.0,100,75,398,0,0,0
17.0,0.0,0.0,0.0,100,75,398,0,0,0
18.0,0.0,0.0,0.0,101,77,398,0,0,0
19.0,0.0,0.0,0.0,109,78,399,0,0,0
20.0,0.0,0.0,0.0,118,89,401,0,0,0
21.0,0.0,0.0,0.0,128,94,422,0,0,0
22.0,0.0,0.0,0.0,141,103,449,0,0,0
23.0,0.0,0.0,0.0,163,117,462,0,0,0
24.0,0.0,0.0,0.0,176,133,563,0,0,0
25.0,0.0,0.0,0.0,185,147,678,0,0,0
26.0,0.0,0.0,0.0,193,157,743,0,0,0
27.0,0.0,0.0,0.0,195,165,762,0,0,0
28.0,0.0,0.0,0.0,200,171,805,0,0,0
29.0,0.0,0.0,0.0,200,173,848,0,0,0
30.0,0.0,0.0,0.0,200,173,887,0,0,0
31.0,0.0,0.0,0.0,200,173,887,0,0,0
32.0,0.0,0.0,0.0,203,174,887,0,0,0
33.0,0.0,0.0,0.0,206,178,891,0,0,0
34.0,0.0,0.0,0.0,214,184,919,0,0,0
35.0,0.0,0.0,0.0,225,191,959,0,0,0
36.0,0.0,0.0,0.0,237,194,977,0,0,0
37.0,0.0,0.0,0.0,251,205,980,0,0,0
38.0,0.0,0.0,0.0,263,216,1018,0,0,0
39.0,0.0,0.0,0.0,278,233,1103,0,0,0
40.0,0.0,0.0,0.0,286,247,1222,0,0,0
41.0,0.0,0.0,0.0,295,255,1289,0,0,0
42.0,0.0,0.0,0.0,299,263,1323,0,0,0
43.0,0.0,0.0,0.0,300,269,1354,0,0,0
44.0,0.0,0.0,0.0,300,271,1407,0,0,0
45.0,0.0,0.0,0.0,300,271,1445,0,0,0
46.0,0.0,0.0,0.0,304,273,1445,4,0,0
47.0,25.0,0.0,1.0,307,275,1456,8,2,0
48.0,33.333333,2.0,1.5,312,279,1476,12,4,0
49.0,58.333333,2.0,1.428571,320,281,1500,12,7,0
50.0,62.5,2.4,1.9,328,292,1526,16,10,1
51.0,77.777778,2.4,1.928571,341,298,1572,18,14,5
52.0,76.190476,2.285714,1.9375,359,308,1648,21,16,7
53.0,90.47619,2.75,1.842105,369,316,1762,21,19,7
54.0,80.0,3.0,1.9,382,323,1869,25,20,8
55.0,92.0,3.0,1.869565,389,336,1897,25,23,10
56.0,92.592593,2.857143,1.88,397,347,1933,27,25,11
57.0,100.0,2.857143,1.814815,399,355,2094,27,27,11
58.0,87.096774,3.0,1.814815,399,356,2134,31,27,12
59.0,93.548387,3.0,1.758621,400,360,2134,31,29,12
60.0,93.939394,2.9,1.774194,401,361,2210,33,31,12
61.0,100.0,2.9,1.727273,402,363,2232,33,33,12
62.0,89.189189,2.869565,1.727273,411,365,2295,37,33,13
63.0,94.594595,2.869565,1.685714,418,369,2304,37,35,13
64.0,94.871795,2.8,1.702703,425,372,2311,39,37,13
65.0,100.0,2.8,1.666667,436,377,2319,39,39,13
66.0,90.697674,2.785714,1.666667,448,388,2380,43,39,14
67.0,95.348837,2.785714,1.634146,461,394,2478,43,41,14
68.0,95.555556,2.733333,1.651163,474,402,2497,45,43,14
69.0,100.0,2.733333,1.622222,484,413,2765,45,45,14
70.0,91.836735,2.727273,1.622222,493,420,2821,49,45,15
71.0,95.918367,2.727273,1.595745,496,429,2852,49,47,15
72.0,96.078431,2.685714,1.612245,498,438,2924,51,49,15
73.0,100.0,2.685714,1.588235,500,445,2964,51,51,15
74.0,98.076923,2.684211,1.588235,500,448,3020,52,51,16
75.0,91.071429,2.684211,1.588235,505,452,3048,56,51,16
76.0,91.37931,2.684211,1.566038,508,452,3089,58,53,16
77.0,91.666667,2.65,1.6,511,453,3089,60,55,16
78.0,98.360656,2.65,1.616667,520,456,3089,61,60,17
79.0,92.307692,2.619048,1.616667,532,463,3128,65,60,19
80.0,92.537313,2.651163,1.596774,544,474,3154,67,62,20
81.0,92.753623,2.622222,1.625,556,480,3172,69,64,20
82.0,98.571429,2.622222,1.637681,567,487,3197,70,69,21
83.0,93.243243,2.595745,1.637681,579,497,3207,74,69,23
84.0,93.421053,2.625,1.619718,588,508,3364,76,71,24
85.0,93.589744,2.6,1.643836,591,513,3514,78,73,24
86.0,100.0,2.6,1.653846,596,520,3522,78,78,25
