node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,55,111,21,15,2
1,backbone,40,118,20,0,3
2,backbone,41,279,20,0,7
3,backbone,41,200,20,0,5
4,backbone,118,263,7,0,12
5,backbone,39,79,20,0,2
6,backbone,111,279,10,1,10
7,backbone,40,79,21,0,2
8,backbone,39,159,20,0,4
9,backbone,111,279,18,6,5
10,backbone,40,160,20,0,4
11,backbone,107,290,9,0,12
12,backbone,39,39,20,0,1
13,backbone,41,120,21,0,3
14,backbone,40,120,21,0,3
15,backbone,137,214,12,9,5
16,backbone,104,296,13,0,10
17,backbone,41,119,21,0,3
18,backbone,39,79,20,0,2
19,backbone,41,80,21,0,2
20,backbone,40,80,21,0,2
21,backbone,42,239,22,0,6
22,backbone,40,122,20,0,3
23,backbone,40,41,21,0,1
24,backbone,97,305,20,0,5
25,backbone,40,78,21,0,2
26,backbone,40,40,21,0,1
27,backbone,41,118,21,0,3
28,backbone,40,40,20,0,1
29,backbone,40,199,20,0,5
30,backbone,41,81,21,0,2
31,backbone,39,119,20,0,3
32,backbone,39,81,20,0,2
33,backbone,39,80,20,0,2
34,backbone,38,161,20,0,4
35,backbone,40,39,20,0,1
36,backbone,41,158,21,0,4
37,backbone,39,79,20,0,2
38,backbone,42,161,21,0,4
39,backbone,101,304,13,0,10
40,backbone,40,160,20,0,4
41,backbone,72,315,20,2,4
42,backbone,40,78,21,0,2
43,backbone,39,200,20,0,5
44,backbone,41,80,21,0,2
45,backbone,41,79,20,0,2
46,backbone,40,201,20,0,5
47,backbone,40,39,20,0,1
48,backbone,94,288,20,4,6
49,backbone,67,245,21,0,4
50,backbone,40,203,20,0,5
51,backbone,40,237,20,0,6
52,backbone,46,208,20,0,5
53,backbone,39,79,20,0,2
54,backbone,39,40,20,0,1
55,backbone,40,79,20,0,2
56,backbone,64,111,21,23,2
57,backbone,40,79,20,0,2
58,backbone,39,121,20,0,3
59,backbone,40,119,20,0,3
60,backbone,41,79,21,0,2
61,backbone,98,311,14,7,9
62,backbone,94,315,20,0,5
63,backbone,88,152,20,50,2
64,backbone,90,300,20,0,5
65,backbone,55,177,20,1,3
66,backbone,41,81,21,0,2
67,backbone,60,194,21,20,4
68,backbone,81,354,20,0,8
69,backbone,100,179,20,12,3
70,backbone,40,41,20,0,1
71,backbone,40,80,21,0,2
72,backbone,94,322,13,0,10
73,backbone,65,130,20,26,3
74,backbone,39,120,20,0,3
75,backbone,41,41,21,0,1
76,backbone,58,111,20,18,2
77,backbone,125,244,13,0,7
78,backbone,41,40,21,0,1
79,backbone,41,119,21,0,3
80,backbone,56,258,20,16,6
81,backbone,41,40,21,0,1
82,backbone,40,121,20,0,3
83,backbone,57,121,21,17,3
84,backbone,41,79,21,0,2
85,backbone,40,120,21,0,3
86,backbone,40,120,21,0,3
87,backbone,41,202,21,0,5
88,backbone,146,191,7,0,4
89,backbone,77,293,20,7,6
90,backbone,38,42,20,0,1
91,backbone,40,118,21,0,3
92,backbone,40,40,21,0,1
93,backbone,60,173,20,14,4
94,backbone,64,264,20,2,5
95,backbone,88,309,20,0,5
96,backbone,40,79,20,0,2
97,backbone,40,161,20,0,4
98,backbone,41,79,21,0,2
99,backbone,40,197,20,0,5
