node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,leaf,55,122,20,37,3
1,leaf,41,120,21,0,3
2,backbone,41,274,21,0,7
3,leaf,39,200,20,0,5
4,backbone,121,254,6,0,0
5,backbone,39,72,20,0,2
6,backbone,80,356,19,0,7
7,leaf,37,69,21,0,2
8,leaf,40,160,20,0,4
9,leaf,114,273,19,68,4
10,leaf,39,160,20,0,4
11,leaf,102,302,10,0,0
12,leaf,31,37,20,0,1
13,backbone,39,104,20,0,3
14,backbone,40,120,21,0,3
15,backbone,75,234,20,0,5
16,leaf,70,344,21,0,7
17,backbone,41,115,21,0,3
18,leaf,37,71,20,0,2
19,backbone,40,80,20,0,2
20,leaf,41,60,21,0,2
21,leaf,40,222,20,0,6
22,leaf,40,107,21,0,3
23,leaf,37,40,20,0,1
24,leaf,56,272,20,3,6
25,backbone,39,79,21,0,2
26,leaf,33,39,20,0,1
27,leaf,40,117,20,0,3
28,leaf,21,41,20,0,1
29,backbone,40,199,20,0,5
30,backbone,39,78,20,0,2
31,leaf,40,121,21,0,3
32,backbone,39,78,20,0,2
33,backbone,41,78,21,0,2
34,leaf,40,155,20,0,4
35,leaf,31,37,20,0,1
36,leaf,39,160,20,0,4
37,backbone,40,79,21,0,2
38,leaf,41,159,21,0,4
39,leaf,86,341,17,0,7
40,backbone,36,158,20,0,4
41,leaf,64,347,21,1,7
42,leaf,33,62,20,0,2
43,leaf,40,187,20,0,5
44,leaf,40,79,20,0,2
45,backbone,39,78,20,0,2
46,leaf,40,197,20,0,5
47,leaf,23,33,20,0,1
48,backbone,43,232,21,0,6
49,leaf,72,274,20,0,6
50,leaf,39,201,20,0,5
51,backbone,40,240,20,0,6
52,leaf,39,200,20,0,5
53,backbone,40,81,21,0,2
54,leaf,23,41,20,0,1
55,backbone,39,79,21,0,2
56,leaf,54,122,21,38,3
57,backbone,36,62,21,0,2
58,backbone,39,117,20,0,3
59,backbone,41,120,21,0,3
60,leaf,32,78,21,0,2
61,leaf,99,309,15,14,6
62,backbone,45,286,21,0,7
63,leaf,86,186,20,150,3
64,leaf,52,267,21,6,6
65,backbone,37,196,20,0,5
66,leaf,40,66,20,0,2
67,backbone,40,199,21,0,5
68,backbone,40,317,21,0,8
69,backbone,61,180,21,0,4
70,leaf,30,39,21,0,1
71,backbone,39,80,20,0,2
72,leaf,98,311,13,0,2
73,backbone,40,122,20,0,3
74,leaf,41,118,21,0,3
75,leaf,30,40,20,0,1
76,leaf,40,119,20,0,3
77,leaf,129,234,10,0,0
78,leaf,28,40,20,0,1
79,backbone,41,119,21,0,3
80,leaf,41,238,21,0,6
81,leaf,32,39,21,0,1
82,backbone,39,119,20,0,3
83,leaf,52,129,21,15,3
84,backbone,39,68,21,0,2
85,backbone,40,119,20,0,3
86,backbone,39,120,20,0,3
87,backbone,40,199,20,0,5
88,backbone,95,213,20,0,3
89,backbone,42,280,21,0,7
90,leaf,22,40,20,0,1
91,leaf,41,102,21,0,3
92,leaf,23,36,20,0,1
93,backbone,40,161,20,0,4
94,leaf,40,250,20,0,6
95,leaf,50,296,20,0,7
96,leaf,38,75,20,0,2
97,backbone,41,159,21,0,4
98,backbone,38,77,21,0,2
99,backbone,38,189,20,0,5
