t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,0,0,0,0,0,0
6.0,0.0,0.0,0.0,2,0,0,0,0,0
7.0,0.0,0.0,0.0,3,0,7,0,0,0
8.0,0.0,0.0,0.0,5,3,11,0,0,0
9.0,0.0,0.0,0.0,7,4,21,0,0,0
10.0,0.0,0.0,0.0,9,4,28,0,0,0
11.0,0.0,0.0,0.0,9,5,35,0,0,0
12.0,0.0,0.0,0.0,10,6,35,0,0,0
13.0,0.0,0.0,0.0,10,6,39,0,0,0
14.0,0.0,0.0,0.0,10,6,39,0,0,0
15.0,0.0,0.0,0.0,10,6,39,0,0,0
16.0,0.0,0.0,0.0,10,6,39,0,0,0
17.0,0.0,0.0,0.0,10,6,39,0,0,0
18.0,0.0,0.0,0.0,10,6,39,0,0,0
19.0,0.0,0.0,0.0,10,6,39,0,0,0
20.0,0.0,0.0,0.0,11,8,39,0,0,0
21.0,0.0,0.0,0.0,12,10,56,0,0,0
22.0,0.0,0.0,0.0,13,12,69,0,0,0
23.0,0.0,0.0,0.0,15,13,69,0,0,0
24.0,0.0,0.0,0.0,17,13,76,0,0,0
25.0,0.0,0.0,0.0,19,14,76,0,0,0
26.0,0.0,0.0,0.0,19,14,76,0,0,0
27.0,0.0,0.0,0.0,19,16,76,0,0,0
28.0,0.0,0.0,0.0,20,16,76,0,0,0
29.0,0.0,0.0,0.0,20,16,76,0,0,0
30.0,0.0,0.0,0.0,20,16,76,0,0,0
31.0,0.0,0.0,0.0,20,16,76,0,0,0
32.0,0.0,0.0,0.0,20,16,76,0,0,0
33.0,0.0,0.0,0.0,20,16,76,0,0,0
34.0,0.0,0.0,0.0,20,17,76,0,0,0
35.0,0.0,0.0,0.0,21,18,81,0,0,0
36.0,0.0,0.0,0.0,24,19,81,0,0,0
37.0,0.0,0.0,0.0,24,19,83,0,0,0
38.0,0.0,0.0,0.0,25,21,83,0,0,0
39.0,0.0,0.0,0.0,26,24,88,0,0,0
40.0,0.0,0.0,0.0,28,25,89,0,0,0
41.0,0.0,0.0,0.0,30,25,89,0,0,0
42.0,0.0,0.0,0.0,30,26,89,0,0,0
43.0,0.0,0.0,0.0,30,26,89,0,0,0
44.0,0.0,0.0,0.0,30,26,89,0,0,0
45.0,0.0,0.0,0.0,30,26,89,0,0,0
46.0,0.0,0.0,0.0,30,26,89,4,0,0
47.0,50.0,0.0,1.0,30,27,89,8,4,0
48.0,58.333333,2.0,1.0,31,27,89,12,7,0
49.0,75.0,2.0,1.083333,32,27,89,16,12,0
50.0,80.0,2.0,1.0625,34,27,89,20,16,0
51.0,83.333333,2.125,1.05,34,29,89,24,20,0
52.0,82.142857,2.1,1.043478,35,29,90,28,23,0
53.0,87.5,2.086957,1.071429,35,32,90,32,28,0
54.0,88.888889,2.074074,1.0625,37,33,90,36,32,0
55.0,90.0,2.125,1.055556,38,35,90,40,36,0
56.0,88.636364,2.111111,1.051282,39,36,90,44,39,0
57.0,91.666667,2.102564,1.068182,39,36,90,48,44,0
58.0,92.307692,2.093023,1.0625,40,36,90,52,48,0
59.0,92.857143,2.125,1.057692,40,36,90,56,52,0
60.0,91.666667,2.115385,1.054545,40,36,90,60,55,0
61.0,93.75,2.109091,1.066667,40,36,90,64,60,0
62.0,94.117647,2.101695,1.0625,40,37,90,68,64,0
63.0,94.444444,2.125,1.058824,42,37,90,72,68,0
64.0,94.736842,2.117647,1.055556,44,37,90,76,72,0
65.0,93.75,2.111111,1.053333,45,37,90,80,75,0
66.0,95.238095,2.106667,1.0625,45,40,90,84,80,0
67.0,95.454545,2.101266,1.059524,45,41,90,88,84,0
68.0,95.652174,2.119048,1.056818,47,42,90,92,88,0
69.0,94.791667,2.113636,1.054945,47,43,90,96,91,0
70.0,96.0,2.10989,1.0625,48,45,90,100,96,0
71.0,96.153846,2.105263,1.06,50,46,90,104,100,0
72.0,96.296296,2.12,1.057692,50,46,90,108,104,0
73.0,95.535714,2.115385,1.056075,50,46,90,112,107,0
74.0,96.551724,2.11215,1.0625,50,46,90,116,112,0
75.0,96.666667,2.108108,1.060345,50,46,90,120,116,0
76.0,96.774194,2.12069,1.058333,50,46,90,124,120,0
77.0,96.09375,2.116667,1.056911,51,47,90,128,123,0
78.0,96.969697,2.113821,1.0625,52,47,90,132,128,0
79.0,97.058824,2.110236,1.060606,55,50,90,136,132,0
80.0,97.142857,2.121212,1.058824,55,50,90,140,136,0
81.0,96.527778,2.117647,1.057554,55,51,90,144,139,0
82.0,97.297297,2.115108,1.0625,55,52,90,148,144,0
83.0,97.368421,2.111888,1.060811,56,53,90,152,148,0
84.0,97.435897,2.121622,1.059211,57,54,90,156,152,0
85.0,96.875,2.118421,1.058065,58,54,90,160,155,0
86.0,97.560976,2.116129,1.0625,59,55,90,164,160,0
87.0,97.619048,2.113208,1.060976,60,56,90,168,164,0
