scenario_id,description_vi,backbone_leaf_control_dropped,backbone_leaf_hello,backbone_leaf_hops,backbone_leaf_latency_ms,backbone_leaf_latency_s,backbone_leaf_pdr,backbone_leaf_route_changes,backbone_leaf_total_control,backbone_leaf_update,baseline_control_dropped,baseline_hello,baseline_hops,baseline_latency_ms,baseline_latency_s,baseline_pdr,baseline_route_changes,baseline_total_control,baseline_update,full_backbone_nodes,full_control_dropped,full_hello,full_hops,full_latency_ms,full_latency_s,full_leaf_nodes,full_pdr,full_route_changes,full_total_control,full_update
S1,"10 node, uniform, tải thấp, liên kết tốt",38,181,1.024,2000.0,2.0,91.67,199,337,156,39,172,1.075,2148.649,2.148649,93.37,101,337,165,1,71,183,1.095,2000.0,2.0,9,85.12,227,340,157
S2,"10 node, uniform, tải trung bình, liên kết tốt",39,176,1.025,2000.0,2.0,91.27,155,326,150,71,136,1.062,2123.752,2.123752,88.11,129,266,130,3,121,175,1.1,2000.0,2.0,7,75.53,181,317,142
S3,"10 node, clustered, tải cao, liên kết trung bình",87,175,1.005,2010.782,2.010782,81.05,139,294,119,103,142,1.046,2093.541,2.093541,82.36,122,275,133,3,175,165,1.165,2012.121,2.012121,7,71.25,138,274,109
S4,"30 node, uniform, tải thấp, liên kết tốt",15,586,1.245,2356.322,2.356322,98.23,2006,1066,480,236,554,2.284,4580.0,4.58,46.53,1141,1090,536,13,73,589,1.309,2088.7850000000003,2.088785,17,86.48,2041,1090,501
S5,"30 node, uniform, tải cao, liên kết trung bình",21,581,1.225,2419.2309999999998,2.419231,94.43,2126,1079,498,278,537,2.221,4455.814,4.455814,44.93,1155,1048,511,10,94,588,1.488,2320.0,2.32,20,86.94,2150,1060,472
S6,"30 node, clustered, tải cao, liên kết trung bình",36,569,1.067,2085.47,2.08547,94.59,1655,1039,470,340,508,1.338,2687.5,2.6875,64.92,1104,1004,496,9,44,568,1.075,2087.413,2.087413,21,92.98,1693,1035,467
S7,"50 node, uniform, tải trung bình, liên kết trung bình",60,993,1.612,2183.206,2.183206,95.81,3663,1885,892,278,904,3.242,5353.535,5.353535,47.55,4110,1765,861,20,60,993,1.612,2183.206,2.183206,30,95.81,3663,1885,892
S8,"50 node, clustered, tải cao, liên kết trung bình",10,983,1.129,2033.8159999999998,2.033816,99.54,4379,1809,826,259,935,1.229,2453.382,2.453382,68.49,3750,1821,886,18,22,979,1.188,2032.184,2.032184,32,96.89,4367,1796,817
S9,"50 node, uniform, tải trung bình, liên kết yếu",36,1010,1.604,2315.068,2.315068,97.85,4522,1914,904,344,896,3.668,5120.482,5.120482,40.51,4279,1747,851,15,30,1003,1.431,2248.2760000000003,2.248276,35,97.75,4530,1907,904
S10,"50 node, clustered, tải cao, liên kết yếu",38,967,1.164,2311.2129999999997,2.311213,92.05,3424,1785,818,355,922,1.188,2374.793,2.374793,63.63,3657,1795,873,19,55,968,1.16,2304.933,2.304933,31,89.11,3392,1780,812
S11,"100 node, uniform, tải cao, liên kết trung bình",35,2031,1.514,2504.854,2.504854,100.0,11963,3876,1845,221,1957,3.601,6694.737,6.694737,50.62,17684,3831,1874,42,35,2031,1.514,2504.854,2.504854,58,100.0,11963,3876,1845
S12,"100 node, clustered, tải cao, liên kết yếu (cụm dày, vùng nhỏ hơn S10)",42,1986,1.184,2162.4370000000004,2.162437,97.22,9927,3680,1694,146,1945,1.375,2705.882,2.705882,83.48,18827,3812,1867,38,58,1991,1.191,2167.866,2.167866,62,94.49,9555,3675,1684
