dest,next_hop,hop_count,seq_num,last_update
2,4,4,0,184.000
3,11,4,0,184.000
5,63,8,0,188.000
6,11,2,0,184.000
9,9,1,0,182.000
10,4,5,0,187.000
11,11,1,0,129.000
12,11,6,0,131.000
13,11,5,0,131.000
16,4,2,0,187.000
18,11,5,0,131.000
19,63,5,0,188.000
20,61,9,0,187.000
21,11,4,0,131.000
22,63,10,0,188.000
24,61,2,0,187.000
25,63,7,0,188.000
26,11,6,0,131.000
27,4,5,0,187.000
28,61,10,0,187.000
29,4,4,0,187.000
32,61,10,0,180.000
61,61,1,0,187.000
63,63,1,0,186.000
72,72,1,0,187.000
77,77,0,0,0.000
