node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,158,161,16,14,2
1,backbone,90,83,21,48,1
2,backbone,146,193,8,0,4
3,backbone,40,161,20,0,4
4,backbone,52,249,21,0,6
5,backbone,39,100,20,0,2
6,backbone,40,120,21,0,3
7,backbone,120,256,19,0,4
8,backbone,39,40,20,0,1
9,backbone,135,219,12,10,5
10,backbone,39,40,20,0,1
11,backbone,93,84,20,52,1
12,backbone,141,205,11,0,4
13,backbone,40,161,20,0,4
14,backbone,41,242,21,0,6
15,backbone,118,132,20,43,0
16,backbone,40,41,21,0,1
17,backbone,40,139,20,0,3
18,backbone,138,212,13,15,5
19,backbone,41,200,21,0,5
20,backbone,150,181,14,16,2
21,backbone,90,50,21,56,1
22,backbone,40,161,20,0,4
23,backbone,40,119,20,0,3
24,backbone,132,226,13,13,5
25,backbone,40,79,21,0,2
26,backbone,40,161,20,0,4
27,backbone,40,280,20,0,7
28,backbone,40,161,20,0,4
29,backbone,147,131,20,46,1
