node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,101,128,21,27,2
1,leaf,33,73,20,0,2
2,leaf,144,198,10,0,0
3,leaf,22,113,21,0,4
4,leaf,25,174,21,0,6
5,leaf,20,95,20,0,3
6,leaf,24,81,21,0,3
7,backbone,130,230,20,0,5
8,leaf,22,27,21,0,1
9,leaf,138,211,12,0,0
10,leaf,23,37,21,0,1
11,leaf,34,84,21,1,2
12,backbone,136,217,19,0,4
13,leaf,24,111,21,0,4
14,leaf,24,168,21,0,6
15,backbone,138,211,19,0,2
16,leaf,20,20,20,0,1
17,leaf,22,117,21,0,4
18,leaf,137,214,15,0,3
19,backbone,36,140,20,0,5
20,backbone,100,124,20,29,1
21,leaf,21,22,21,0,1
22,leaf,21,125,20,0,4
23,leaf,27,76,21,0,3
24,backbone,121,195,20,0,4
25,leaf,37,49,21,0,2
26,leaf,30,111,20,0,4
27,backbone,54,204,21,0,7
28,leaf,24,111,21,0,4
29,leaf,43,61,20,9,2
