node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,54,89,20,39,2
1,leaf,33,62,20,2,2
2,leaf,146,191,9,0,0
3,leaf,22,111,21,0,4
4,leaf,24,173,20,0,6
5,leaf,20,98,20,0,3
6,leaf,22,84,21,0,3
7,backbone,57,158,21,0,5
8,leaf,23,26,20,0,1
9,backbone,133,224,11,0,0
10,leaf,23,27,21,0,1
11,leaf,55,86,20,0,2
12,backbone,56,141,20,0,4
13,leaf,24,114,21,0,4
14,leaf,24,167,21,0,6
15,leaf,113,169,21,70,1
16,leaf,20,20,20,0,1
17,leaf,22,119,21,0,4
18,leaf,138,212,11,0,0
19,backbone,37,143,21,0,5
20,backbone,76,110,21,41,1
21,leaf,51,27,21,77,1
22,leaf,21,125,20,0,4
23,leaf,26,79,19,0,3
24,backbone,140,206,16,0,3
25,leaf,27,51,20,0,2
26,backbone,34,109,21,0,4
27,backbone,40,191,20,0,7
28,leaf,24,109,21,0,4
29,leaf,91,84,20,68,1
