t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,0,0,0,0,0,0
6.0,0.0,0.0,0.0,5,0,0,0,0,0
7.0,0.0,0.0,0.0,9,1,20,0,0,0
8.0,0.0,0.0,0.0,15,4,29,0,0,0
9.0,0.0,0.0,0.0,21,9,54,0,0,0
10.0,0.0,0.0,0.0,25,13,76,0,0,0
11.0,0.0,0.0,0.0,27,16,92,0,0,0
12.0,0.0,0.0,0.0,30,20,98,0,0,0
13.0,0.0,0.0,0.0,30,20,106,0,0,0
14.0,0.0,0.0,0.0,30,20,106,0,0,0
15.0,0.0,0.0,0.0,30,20,106,0,0,0
16.0,0.0,0.0,0.0,30,20,106,0,0,0
17.0,0.0,0.0,0.0,30,20,106,0,0,0
18.0,0.0,0.0,0.0,30,20,106,0,0,0
19.0,0.0,0.0,0.0,35,22,106,0,0,0
20.0,0.0,0.0,0.0,37,24,129,0,0,0
21.0,0.0,0.0,0.0,39,27,139,0,0,0
22.0,0.0,0.0,0.0,45,28,168,0,0,0
23.0,0.0,0.0,0.0,47,29,169,0,0,0
24.0,0.0,0.0,0.0,48,31,190,0,0,0
25.0,0.0,0.0,0.0,55,35,196,0,0,0
26.0,0.0,0.0,0.0,57,36,262,0,0,0
27.0,0.0,0.0,0.0,59,37,267,0,0,0
28.0,0.0,0.0,0.0,60,39,268,0,0,0
29.0,0.0,0.0,0.0,60,39,275,0,0,0
30.0,0.0,0.0,0.0,60,39,275,0,0,0
31.0,0.0,0.0,0.0,60,39,275,0,0,0
32.0,0.0,0.0,0.0,61,39,275,0,0,0
33.0,0.0,0.0,0.0,62,39,275,0,0,0
34.0,0.0,0.0,0.0,64,40,275,0,0,0
35.0,0.0,0.0,0.0,68,42,281,0,0,0
36.0,0.0,0.0,0.0,73,45,309,0,0,0
37.0,0.0,0.0,0.0,74,46,336,0,0,0
38.0,0.0,0.0,0.0,80,49,344,0,0,0
39.0,0.0,0.0,0.0,82,51,364,0,0,0
40.0,0.0,0.0,0.0,86,53,374,0,0,0
41.0,0.0,0.0,0.0,87,55,382,0,0,0
42.0,0.0,0.0,0.0,90,56,393,0,0,0
43.0,0.0,0.0,0.0,90,57,393,0,0,0
44.0,0.0,0.0,0.0,90,58,399,0,0,0
45.0,0.0,0.0,0.0,90,58,409,0,0,0
46.0,0.0,0.0,0.0,90,58,409,4,0,0
47.0,50.0,0.0,1.0,91,58,409,6,3,0
48.0,40.0,2.0,1.0,92,58,409,10,4,0
49.0,81.818182,2.0,1.222222,93,59,409,11,9,0
50.0,73.333333,2.0,1.363636,100,60,410,15,11,1
51.0,93.75,2.0,1.266667,103,61,421,16,15,2
52.0,80.0,2.0,1.25,107,62,426,20,16,2
53.0,90.909091,2.0,1.2,108,64,427,22,20,2
54.0,84.615385,2.0,1.181818,112,64,440,26,22,2
55.0,92.857143,2.0,1.153846,114,65,443,28,26,2
56.0,87.5,2.0,1.142857,117,68,444,32,28,2
57.0,94.117647,2.0,1.125,119,68,455,34,32,2
58.0,89.473684,2.0,1.117647,120,68,456,38,34,2
59.0,95.0,2.0,1.105263,120,69,456,40,38,2
60.0,90.909091,2.0,1.1,121,69,458,44,40,2
61.0,95.652174,2.0,1.090909,122,69,460,46,44,2
62.0,92.0,2.0,1.086957,122,69,460,50,46,2
63.0,96.153846,2.0,1.08,126,69,460,52,50,2
64.0,92.857143,2.0,1.076923,129,70,462,56,52,2
65.0,96.551724,2.0,1.071429,130,70,474,58,56,2
66.0,93.548387,2.0,1.068966,131,70,475,62,58,2
67.0,96.875,2.0,1.064516,137,73,476,64,62,2
68.0,94.117647,2.0,1.0625,142,73,509,68,64,2
69.0,97.142857,2.0,1.058824,145,74,511,70,68,2
70.0,94.594595,2.0,1.057143,148,76,519,74,70,2
71.0,93.589744,2.0,1.054795,148,78,565,78,73,2
72.0,93.902439,2.0,1.051948,150,78,565,82,77,2
73.0,95.348837,2.0,1.073171,150,78,565,86,82,2
74.0,95.555556,2.0,1.069767,150,78,565,90,86,3
75.0,94.680851,2.0,1.067416,150,79,565,94,89,3
76.0,94.897959,2.0,1.064516,153,79,565,98,93,3
77.0,96.078431,2.0,1.081633,153,80,565,102,98,3
78.0,96.226415,2.0,1.078431,155,80,610,106,102,4
79.0,95.454545,2.0,1.07619,158,80,610,110,105,4
80.0,95.614035,2.0,1.073394,163,80,610,114,109,4
81.0,96.610169,2.0,1.087719,167,81,610,118,114,4
82.0,96.721311,2.0,1.084746,170,81,610,122,118,5
83.0,96.825397,2.0,1.081967,174,85,613,126,122,5
84.0,96.923077,2.0,1.079365,177,85,662,130,126,5
85.0,97.014925,2.0,1.076923,179,86,663,134,130,5
86.0,97.810219,2.0,1.074627,179,87,668,137,134,5
87.0,97.857143,2.0,1.072993,179,88,670,140,137,5
88.0,97.222222,2.0,1.071429,180,88,704,144,140,5
