t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,1,0,0,0,0,0
6.0,0.0,0.0,0.0,9,1,6,0,0,0
7.0,0.0,0.0,0.0,16,3,35,0,0,0
8.0,0.0,0.0,0.0,27,7,66,0,0,0
9.0,0.0,0.0,0.0,35,15,98,0,0,0
10.0,0.0,0.0,0.0,40,20,132,0,0,0
11.0,0.0,0.0,0.0,44,25,160,0,0,0
12.0,0.0,0.0,0.0,50,30,181,0,0,0
13.0,0.0,0.0,0.0,50,30,194,0,0,0
14.0,0.0,0.0,0.0,50,30,194,0,0,0
15.0,0.0,0.0,0.0,50,30,194,0,0,0
16.0,0.0,0.0,0.0,50,30,194,0,0,0
17.0,0.0,0.0,0.0,50,30,194,0,0,0
18.0,0.0,0.0,0.0,50,30,194,0,0,0
19.0,0.0,0.0,0.0,52,30,194,0,0,0
20.0,0.0,0.0,0.0,57,32,194,0,0,0
21.0,0.0,0.0,0.0,59,35,206,0,0,0
22.0,0.0,0.0,0.0,70,40,213,0,0,0
23.0,0.0,0.0,0.0,78,45,251,0,0,0
24.0,0.0,0.0,0.0,84,46,266,0,0,0
25.0,0.0,0.0,0.0,95,50,270,0,0,0
26.0,0.0,0.0,0.0,97,53,294,0,0,0
27.0,0.0,0.0,0.0,98,54,327,0,0,0
28.0,0.0,0.0,0.0,100,56,338,0,0,0
29.0,0.0,0.0,0.0,100,57,341,0,0,0
30.0,0.0,0.0,0.0,100,57,344,0,0,0
31.0,0.0,0.0,0.0,100,57,344,0,0,0
32.0,0.0,0.0,0.0,101,57,344,0,0,0
33.0,0.0,0.0,0.0,103,58,344,0,0,0
34.0,0.0,0.0,0.0,104,59,354,0,0,0
35.0,0.0,0.0,0.0,111,61,358,0,0,0
36.0,0.0,0.0,0.0,116,66,368,0,0,0
37.0,0.0,0.0,0.0,120,69,387,0,0,0
38.0,0.0,0.0,0.0,136,71,410,0,0,0
39.0,0.0,0.0,0.0,141,74,417,0,0,0
40.0,0.0,0.0,0.0,142,77,437,0,0,0
41.0,0.0,0.0,0.0,145,80,451,0,0,0
42.0,0.0,0.0,0.0,148,82,466,0,0,0
43.0,0.0,0.0,0.0,149,82,477,0,0,0
44.0,0.0,0.0,0.0,150,82,477,0,0,0
45.0,0.0,0.0,0.0,150,83,477,0,0,0
46.0,0.0,0.0,0.0,150,85,483,4,0,0
47.0,50.0,0.0,1.0,151,85,496,8,4,0
48.0,50.0,2.0,1.0,153,85,496,12,6,0
49.0,66.666667,2.0,1.0,156,88,496,15,10,0
50.0,73.684211,2.0,1.285714,158,90,513,19,14,0
51.0,95.0,2.0,1.263158,169,90,523,20,19,2
52.0,83.333333,2.0,1.25,176,94,528,24,20,2
53.0,92.307692,2.111111,1.208333,183,96,570,26,24,2
54.0,86.666667,2.090909,1.192308,192,97,587,30,26,2
55.0,90.909091,2.083333,1.166667,194,98,597,33,30,2
56.0,86.486486,2.071429,1.15625,197,98,600,37,32,2
57.0,92.307692,2.066667,1.138889,198,99,603,39,36,2
58.0,90.697674,2.058824,1.179487,198,102,615,43,39,2
59.0,93.478261,2.055556,1.162791,200,103,636,46,43,3
60.0,90.0,2.05,1.155556,200,103,692,50,45,3
61.0,94.230769,2.047619,1.142857,200,104,692,52,49,3
62.0,92.857143,2.043478,1.173077,203,104,734,56,52,3
63.0,93.333333,2.041667,1.160714,205,106,738,60,56,4
64.0,92.1875,2.038462,1.152542,209,106,744,64,59,4
65.0,94.029851,2.036364,1.142857,214,107,745,67,63,4
66.0,94.366197,2.033898,1.164179,219,109,756,71,67,4
67.0,94.666667,2.032258,1.15493,229,111,774,75,71,5
68.0,93.670886,2.030303,1.148649,234,111,795,79,74,5
69.0,95.121951,2.028986,1.141026,241,113,799,82,78,5
70.0,95.348837,2.027397,1.158537,245,114,810,86,82,5
71.0,95.555556,2.026316,1.151163,248,117,843,90,86,6
72.0,94.680851,2.025,1.146067,249,119,848,94,89,6
73.0,95.876289,2.024096,1.139785,249,119,864,97,93,6
74.0,96.039604,2.022989,1.154639,249,120,864,101,97,6
75.0,96.190476,2.022222,1.148515,251,122,864,105,101,7
76.0,95.412844,2.021277,1.144231,251,122,915,109,104,7
77.0,96.428571,2.061224,1.138889,252,125,915,112,108,7
78.0,96.551724,2.058824,1.151786,255,126,963,116,112,7
79.0,96.666667,2.057143,1.146552,263,127,963,120,116,8
80.0,95.967742,2.055046,1.142857,270,129,963,124,119,8
81.0,96.850394,2.088496,1.138211,275,129,975,127,123,8
82.0,96.946565,2.08547,1.149606,281,129,978,131,127,8
83.0,97.761194,2.083333,1.145038,286,132,982,134,131,9
84.0,96.376812,2.080645,1.142857,290,134,1001,138,133,9
85.0,97.857143,2.110236,1.138686,294,136,1014,140,137,9
86.0,97.222222,2.10687,1.15,297,137,1022,144,140,9
87.0,97.959184,2.105263,1.145833,299,138,1028,147,144,10
