t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,1,0,0,0,0,0
6.0,0.0,0.0,0.0,9,2,5,0,0,0
7.0,0.0,0.0,0.0,16,6,41,0,0,0
8.0,0.0,0.0,0.0,27,11,71,0,0,0
9.0,0.0,0.0,0.0,35,19,124,0,0,0
10.0,0.0,0.0,0.0,40,24,178,0,0,0
11.0,0.0,0.0,0.0,44,29,224,0,0,0
12.0,0.0,0.0,0.0,50,34,282,0,0,0
13.0,0.0,0.0,0.0,50,34,382,0,0,0
14.0,0.0,0.0,0.0,50,34,382,0,0,0
15.0,0.0,0.0,0.0,50,34,382,0,0,0
16.0,0.0,0.0,0.0,50,34,382,0,0,0
17.0,0.0,0.0,0.0,50,34,382,0,0,0
18.0,0.0,0.0,0.0,51,34,382,0,0,0
19.0,0.0,0.0,0.0,52,36,382,0,0,0
20.0,0.0,0.0,0.0,55,46,388,0,0,0
21.0,0.0,0.0,0.0,62,51,464,0,0,0
22.0,0.0,0.0,0.0,66,59,483,0,0,0
23.0,0.0,0.0,0.0,83,65,520,0,0,0
24.0,0.0,0.0,0.0,91,70,593,0,0,0
25.0,0.0,0.0,0.0,94,75,610,0,0,0
26.0,0.0,0.0,0.0,97,78,617,0,0,0
27.0,0.0,0.0,0.0,98,81,663,0,0,0
28.0,0.0,0.0,0.0,100,82,737,0,0,0
29.0,0.0,0.0,0.0,100,84,737,0,0,0
30.0,0.0,0.0,0.0,100,84,799,0,0,0
31.0,0.0,0.0,0.0,100,84,799,0,0,0
32.0,0.0,0.0,0.0,100,85,799,0,0,0
33.0,0.0,0.0,0.0,102,89,804,0,0,0
34.0,0.0,0.0,0.0,106,91,857,0,0,0
35.0,0.0,0.0,0.0,109,93,864,0,0,0
36.0,0.0,0.0,0.0,115,97,897,0,0,0
37.0,0.0,0.0,0.0,122,107,924,0,0,0
38.0,0.0,0.0,0.0,128,114,990,0,0,0
39.0,0.0,0.0,0.0,138,118,1027,0,0,0
40.0,0.0,0.0,0.0,144,121,1044,0,0,0
41.0,0.0,0.0,0.0,146,124,1048,0,0,0
42.0,0.0,0.0,0.0,146,130,1056,0,0,0
43.0,0.0,0.0,0.0,149,133,1109,0,0,0
44.0,0.0,0.0,0.0,149,134,1135,0,0,0
45.0,0.0,0.0,0.0,150,134,1156,0,0,0
46.0,0.0,0.0,0.0,151,134,1156,4,0,0
47.0,12.5,0.0,1.0,151,134,1156,8,1,0
48.0,41.666667,2.0,1.4,156,137,1156,12,5,0
49.0,56.25,2.0,1.555556,159,140,1204,16,9,0
50.0,65.0,2.571429,1.615385,163,144,1208,20,13,1
51.0,66.666667,2.6,1.625,169,150,1242,24,16,2
52.0,75.0,2.857143,1.714286,178,158,1296,28,21,3
53.0,75.0,2.941176,1.75,183,161,1344,32,24,5
54.0,80.555556,3.1,1.758621,188,166,1351,36,29,6
55.0,80.0,3.28,1.75,191,169,1364,40,32,7
56.0,84.090909,3.333333,1.783784,195,173,1368,44,37,8
57.0,83.333333,3.333333,1.8,198,176,1443,48,40,10
58.0,86.538462,3.388889,1.8,198,180,1456,52,45,11
59.0,85.714286,3.463415,1.791667,199,182,1468,56,48,12
60.0,88.333333,3.478261,1.811321,201,183,1479,60,53,13
61.0,87.5,3.469388,1.821429,203,184,1483,64,56,15
62.0,91.176471,3.5,1.806452,205,184,1501,68,62,16
63.0,88.888889,3.517241,1.8125,207,187,1501,72,64,17
64.0,89.473684,3.548387,1.808824,208,190,1532,76,68,18
65.0,91.25,3.538462,1.821918,217,199,1546,80,73,19
66.0,92.857143,3.536232,1.820513,220,204,1577,84,78,21
67.0,89.772727,3.534247,1.810127,228,208,1617,88,79,22
68.0,91.304348,3.589744,1.821429,234,210,1644,92,84,22
69.0,92.708333,3.580247,1.831461,238,216,1702,96,89,24
70.0,94.0,3.547619,1.829787,242,218,1765,100,94,26
71.0,92.307692,3.573034,1.8125,243,223,1765,104,96,27
72.0,92.592593,3.6,1.83,248,226,1787,108,100,27
73.0,93.75,3.608247,1.819048,248,229,1809,112,105,29
74.0,93.965517,3.564356,1.834862,250,231,1820,116,109,30
75.0,94.166667,3.6,1.814159,251,232,1820,120,113,32
76.0,94.354839,3.581818,1.82906,251,235,1844,124,117,32
77.0,93.75,3.614035,1.816667,251,236,1856,128,120,34
78.0,93.939394,3.589744,1.830645,258,239,1856,132,124,34
79.0,94.852941,3.619835,1.821705,261,244,1876,136,129,36
80.0,95.0,3.584,1.834586,266,247,1886,140,133,37
81.0,94.444444,3.612403,1.823529,275,252,1886,144,136,39
82.0,94.594595,3.609023,1.835714,277,261,1902,148,140,39
83.0,92.105263,3.635036,1.835714,286,261,1914,152,140,41
84.0,90.909091,3.637681,1.835714,289,267,1914,154,140,42
85.0,89.171975,3.671429,1.835714,292,270,1915,157,140,45
86.0,86.956522,3.671429,1.835714,295,273,1950,161,140,49
