scenario_id,sim_profile,hello_packets,update_packets,total_control_packets,pdr,avg_latency_s,avg_hops,route_changes,backbone_nodes,leaf_nodes
S1,baseline,172,165,337,93.37474120082815,2.1486486486486487,1.0753880266075388,101,10,0
S1,backbone_leaf,193,50,243,95.94594594594595,2.0,1.0309859154929577,206,4,6
S1,full,191,50,241,90.66985645933015,2.0,1.0923482849604222,200,2,8
S2,baseline,136,130,266,88.1118881118881,2.12375249500998,1.0615079365079365,129,10,0
S2,backbone_leaf,180,48,228,83.04668304668304,2.0,1.0207100591715976,172,3,7
S2,full,184,55,239,77.13675213675214,2.0,1.0914127423822715,186,3,7
S3,baseline,142,133,275,82.36363636363636,2.093541202672606,1.0463576158940397,122,10,0
S3,backbone_leaf,176,37,213,87.6889848812095,2.009925558312655,1.0049261083743843,153,3,7
S3,full,172,36,208,77.75735294117646,2.011204481792717,1.160756501182033,148,4,6
S4,baseline,554,536,1090,46.52777777777778,4.58,2.283582089552239,1141,30,0
S4,backbone_leaf,598,218,816,98.54014598540147,2.041198501872659,1.0185185185185186,1623,9,21
S4,full,595,196,791,89.71428571428571,2.1622641509433964,1.2611464968152866,1765,10,20
S5,baseline,537,511,1048,44.927536231884055,4.455813953488372,2.2211981566820276,1155,30,0
S5,backbone_leaf,590,212,802,96.0,2.6996699669966997,1.3044871794871795,1762,8,22
S5,full,579,211,790,95.86206896551724,2.329113924050633,1.3129496402877698,1632,9,21
S6,baseline,508,496,1004,64.91803278688525,2.6875,1.3383838383838385,1104,30,0
S6,backbone_leaf,577,205,782,97.78830963665087,2.084297520661157,1.0694668820678515,1592,10,20
S6,full,574,210,784,97.05400981996726,2.072824156305506,1.0994940978077572,1673,12,18
S7,baseline,904,861,1765,47.54797441364605,5.353535353535354,3.242152466367713,4110,50,0
S7,backbone_leaf,1005,390,1395,99.53703703703704,2.1951219512195124,1.5534883720930233,3419,17,33
S7,full,1013,393,1406,98.97435897435898,2.4900662251655628,1.538860103626943,3968,22,28
S8,baseline,935,886,1821,68.4931506849315,2.453382084095064,1.229090909090909,3750,50,0
S8,backbone_leaf,983,393,1376,97.45222929936305,2.236080178173719,1.1481481481481481,3686,19,31
S8,full,985,384,1369,99.16317991631799,2.236080178173719,1.2426160337552743,3762,18,32
S9,baseline,896,851,1747,40.51383399209486,5.120481927710843,3.6682926829268294,4279,50,0
S9,backbone_leaf,1009,380,1389,98.17073170731707,2.504201680672269,1.5962732919254659,4030,18,32
S9,full,1006,393,1399,99.51219512195122,2.254777070063694,1.5,4171,21,29
S10,baseline,922,873,1795,63.62683438155136,2.374792703150912,1.187808896210873,3657,50,0
S10,backbone_leaf,982,364,1346,94.29097605893186,2.1897233201581026,1.107421875,3033,21,29
S10,full,978,364,1342,92.9453262786596,2.2144249512670564,1.1328273244781784,3107,23,27
S11,baseline,1957,1874,3831,50.62344139650873,6.6947368421052635,3.600985221674877,17684,100,0
S11,backbone_leaf,2029,815,2844,97.95918367346938,2.5052631578947366,1.6527777777777777,8922,47,53
S11,full,2029,815,2844,97.95918367346938,2.5052631578947366,1.6527777777777777,8922,47,53
S12,baseline,1945,1867,3812,83.47953216374269,2.7058823529411766,1.3747810858143608,18827,100,0
S12,backbone_leaf,1999,801,2800,98.44054580896686,2.2815126050420167,1.1742574257425742,9549,41,59
S12,full,1987,818,2805,94.81605351170569,2.1350844277673544,1.1569664902998236,9683,41,59
