scenario_id,description_vi,backbone_leaf_control_dropped,backbone_leaf_hello,backbone_leaf_hops,backbone_leaf_latency_ms,backbone_leaf_latency_s,backbone_leaf_pdr,backbone_leaf_route_changes,backbone_leaf_total_control,backbone_leaf_update,baseline_control_dropped,baseline_hello,baseline_hops,baseline_latency_ms,baseline_latency_s,baseline_pdr,baseline_route_changes,baseline_total_control,baseline_update,full_backbone_nodes,full_control_dropped,full_hello,full_hops,full_latency_ms,full_latency_s,full_leaf_nodes,full_pdr,full_route_changes,full_total_control,full_update
S1,"10 node, uniform, tải thấp, liên kết tốt",24,193,1.031,2000.0,2.0,95.95,206,243,50,39,172,1.075,2148.649,2.148649,93.37,101,337,165,2,56,191,1.092,2000.0,2.0,8,90.67,200,241,50
S2,"10 node, uniform, tải trung bình, liên kết tốt",77,180,1.021,2000.0,2.0,83.05,172,228,48,71,136,1.062,2123.752,2.123752,88.11,129,266,130,3,123,184,1.091,2000.0,2.0,7,77.14,186,239,55
S3,"10 node, clustered, tải cao, liên kết trung bình",60,176,1.005,2009.9260000000002,2.009926,87.69,153,213,37,103,142,1.046,2093.541,2.093541,82.36,122,275,133,4,137,172,1.161,2011.2040000000002,2.011204,6,77.76,148,208,36
S4,"30 node, uniform, tải thấp, liên kết tốt",6,598,1.019,2041.1990000000003,2.041199,98.54,1623,816,218,236,554,2.284,4580.0,4.58,46.53,1141,1090,536,10,63,595,1.261,2162.264,2.162264,20,89.71,1765,791,196
S5,"30 node, uniform, tải cao, liên kết trung bình",21,590,1.304,2699.6699999999996,2.69967,96.0,1762,802,212,278,537,2.221,4455.814,4.455814,44.93,1155,1048,511,9,43,579,1.313,2329.114,2.329114,21,95.86,1632,790,211
S6,"30 node, clustered, tải cao, liên kết trung bình",22,577,1.069,2084.298,2.084298,97.79,1592,782,205,340,508,1.338,2687.5,2.6875,64.92,1104,1004,496,12,34,574,1.099,2072.824,2.072824,18,97.05,1673,784,210
S7,"50 node, uniform, tải trung bình, liên kết trung bình",40,1005,1.553,2195.122,2.195122,99.54,3419,1395,390,278,904,3.242,5353.535,5.353535,47.55,4110,1765,861,22,37,1013,1.539,2490.0660000000003,2.490066,28,98.97,3968,1406,393
S8,"50 node, clustered, tải cao, liên kết trung bình",19,983,1.148,2236.08,2.23608,97.45,3686,1376,393,259,935,1.229,2453.382,2.453382,68.49,3750,1821,886,18,13,985,1.243,2236.08,2.23608,32,99.16,3762,1369,384
S9,"50 node, uniform, tải trung bình, liên kết yếu",45,1009,1.596,2504.2019999999998,2.504202,98.17,4030,1389,380,344,896,3.668,5120.482,5.120482,40.51,4279,1747,851,21,41,1006,1.5,2254.7769999999996,2.254777,29,99.51,4171,1399,393
S10,"50 node, clustered, tải cao, liên kết yếu",35,982,1.107,2189.723,2.189723,94.29,3033,1346,364,355,922,1.188,2374.793,2.374793,63.63,3657,1795,873,23,43,978,1.133,2214.4249999999997,2.214425,27,92.95,3107,1342,364
S11,"100 node, uniform, tải cao, liên kết trung bình",52,2029,1.653,2505.263,2.505263,97.96,8922,2844,815,221,1957,3.601,6694.737,6.694737,50.62,17684,3831,1874,47,52,2029,1.653,2505.263,2.505263,53,97.96,8922,2844,815
S12,"100 node, clustered, tải cao, liên kết yếu (cụm dày, vùng nhỏ hơn S10)",35,1999,1.174,2281.513,2.281513,98.44,9549,2800,801,146,1945,1.375,2705.882,2.705882,83.48,18827,3812,1867,41,57,1987,1.157,2135.084,2.135084,59,94.82,9683,2805,818
