t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,data_packets,data_delivered,data_dropped
0.0,0.0,0.0,0.0,0,0,0,0,0,0
1.0,0.0,0.0,0.0,0,0,0,0,0,0
2.0,0.0,0.0,0.0,0,0,0,0,0,0
3.0,0.0,0.0,0.0,0,0,0,0,0,0
4.0,0.0,0.0,0.0,0,0,0,0,0,0
5.0,0.0,0.0,0.0,1,0,0,0,0,0
6.0,0.0,0.0,0.0,9,0,4,0,0,0
7.0,0.0,0.0,0.0,16,2,33,0,0,0
8.0,0.0,0.0,0.0,27,5,67,0,0,0
9.0,0.0,0.0,0.0,35,13,101,0,0,0
10.0,0.0,0.0,0.0,40,18,167,0,0,0
11.0,0.0,0.0,0.0,44,23,201,0,0,0
12.0,0.0,0.0,0.0,50,28,288,0,0,0
13.0,0.0,0.0,0.0,50,28,360,0,0,0
14.0,0.0,0.0,0.0,50,28,360,0,0,0
15.0,0.0,0.0,0.0,50,28,360,0,0,0
16.0,0.0,0.0,0.0,50,28,360,0,0,0
17.0,0.0,0.0,0.0,50,28,360,0,0,0
18.0,0.0,0.0,0.0,50,28,360,0,0,0
19.0,0.0,0.0,0.0,52,30,360,0,0,0
20.0,0.0,0.0,0.0,57,34,370,0,0,0
21.0,0.0,0.0,0.0,59,42,412,0,0,0
22.0,0.0,0.0,0.0,70,52,480,0,0,0
23.0,0.0,0.0,0.0,78,57,533,0,0,0
24.0,0.0,0.0,0.0,84,60,553,0,0,0
25.0,0.0,0.0,0.0,95,67,575,0,0,0
26.0,0.0,0.0,0.0,97,71,641,0,0,0
27.0,0.0,0.0,0.0,98,73,711,0,0,0
28.0,0.0,0.0,0.0,100,77,742,0,0,0
29.0,0.0,0.0,0.0,100,78,782,0,0,0
30.0,0.0,0.0,0.0,100,78,812,0,0,0
31.0,0.0,0.0,0.0,100,78,812,0,0,0
32.0,0.0,0.0,0.0,101,78,812,0,0,0
33.0,0.0,0.0,0.0,103,78,812,0,0,0
34.0,0.0,0.0,0.0,105,80,812,0,0,0
35.0,0.0,0.0,0.0,109,89,857,0,0,0
36.0,0.0,0.0,0.0,114,97,908,0,0,0
37.0,0.0,0.0,0.0,123,102,968,0,0,0
38.0,0.0,0.0,0.0,134,106,986,0,0,0
39.0,0.0,0.0,0.0,141,111,1007,0,0,0
40.0,0.0,0.0,0.0,144,115,1094,0,0,0
41.0,0.0,0.0,0.0,148,121,1149,0,0,0
42.0,0.0,0.0,0.0,149,124,1256,0,0,0
43.0,0.0,0.0,0.0,150,125,1271,0,0,0
44.0,0.0,0.0,0.0,150,128,1311,0,0,0
45.0,0.0,0.0,0.0,150,128,1346,0,0,0
46.0,0.0,0.0,0.0,151,128,1346,4,0,0
47.0,37.5,0.0,1.0,152,129,1346,8,3,0
48.0,41.666667,2.0,1.0,153,130,1348,12,5,0
49.0,62.5,2.0,1.3,160,136,1348,16,10,0
50.0,75.0,2.0,1.333333,164,142,1389,20,15,1
51.0,75.0,2.153846,1.388889,168,147,1395,24,18,2
52.0,82.142857,2.375,1.347826,175,151,1445,28,23,3
53.0,84.375,2.47619,1.37037,184,154,1445,32,27,3
54.0,86.111111,2.615385,1.322581,192,158,1450,36,31,4
55.0,87.5,2.533333,1.342857,194,166,1489,40,35,4
56.0,86.363636,2.588235,1.342105,198,168,1533,44,38,5
57.0,87.5,2.555556,1.333333,198,174,1548,48,42,5
58.0,90.384615,2.634146,1.361702,200,176,1579,52,47,5
59.0,89.285714,2.622222,1.34,200,177,1584,56,50,6
60.0,90.0,2.612245,1.351852,202,178,1588,60,54,6
61.0,92.1875,2.641509,1.372881,202,179,1590,64,59,7
62.0,92.647059,2.607143,1.365079,203,182,1590,68,63,8
63.0,93.055556,2.655738,1.343284,207,186,1596,72,67,8
64.0,93.421053,2.686567,1.352113,210,190,1624,76,71,8
65.0,91.25,2.657143,1.342466,216,192,1644,80,73,9
66.0,92.857143,2.638889,1.358974,220,197,1686,84,78,9
67.0,94.318182,2.657895,1.373494,229,205,1690,88,83,10
68.0,95.652174,2.65,1.363636,235,206,1723,92,88,11
69.0,95.833333,2.674419,1.347826,240,211,1723,96,92,11
70.0,94.0,2.695652,1.340426,244,217,1750,100,94,11
71.0,95.192308,2.680851,1.343434,246,219,1804,104,99,11
72.0,94.444444,2.659794,1.333333,249,223,1808,108,102,11
73.0,94.642857,2.666667,1.339623,251,224,1844,112,106,11
74.0,94.827586,2.647619,1.345455,252,226,1851,116,110,12
75.0,95.0,2.62963,1.359649,252,227,1868,120,114,13
76.0,95.967742,2.648649,1.352941,253,231,1876,124,119,14
77.0,96.09375,2.666667,1.357724,256,235,1887,128,123,14
78.0,96.212121,2.688525,1.346457,259,237,1898,132,127,15
79.0,96.323529,2.666667,1.351145,266,244,1902,136,131,15
80.0,95.714286,2.676923,1.343284,271,248,1924,140,134,16
81.0,96.527778,2.661654,1.352518,277,250,1926,144,139,16
82.0,95.945946,2.671533,1.352113,283,254,1926,148,142,17
83.0,96.052632,2.671429,1.349315,284,260,1952,152,146,17
84.0,96.153846,2.689655,1.353333,290,262,1952,156,150,17
85.0,96.875,2.684564,1.354839,292,266,1967,160,155,18
