node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,149,184,9,0,3
1,backbone,41,120,21,0,3
2,backbone,78,267,21,0,6
3,backbone,103,272,21,0,5
4,backbone,132,226,7,0,8
5,backbone,39,79,20,0,2
6,backbone,127,240,9,0,8
7,backbone,41,81,21,0,2
8,backbone,39,121,20,0,3
9,backbone,150,181,15,0,1
10,backbone,75,116,20,22,2
11,backbone,124,248,15,10,6
12,backbone,39,40,20,0,1
13,backbone,40,80,20,0,2
14,backbone,76,155,21,93,3
15,backbone,84,91,20,69,1
16,backbone,123,249,10,1,8
17,backbone,72,116,20,92,2
18,backbone,40,118,20,0,3
19,backbone,42,41,21,0,1
20,backbone,40,80,21,0,2
21,backbone,39,80,20,0,2
22,backbone,41,83,21,0,2
23,backbone,138,211,11,3,5
24,backbone,89,123,21,13,1
25,backbone,41,159,20,0,4
26,backbone,97,202,21,5,3
27,backbone,41,199,21,0,5
28,backbone,71,75,21,91,1
29,backbone,76,117,21,20,2
30,backbone,39,39,20,0,1
31,backbone,39,121,20,0,3
32,backbone,39,39,20,0,1
33,backbone,42,81,21,0,2
34,backbone,39,190,20,0,5
35,backbone,40,41,21,0,1
36,backbone,38,101,20,0,2
37,backbone,39,80,20,0,2
38,backbone,41,150,21,0,4
39,backbone,94,168,21,12,2
40,backbone,40,120,20,0,3
41,backbone,116,267,13,1,8
42,backbone,39,118,20,0,3
43,backbone,109,284,15,1,7
44,backbone,41,82,21,0,2
45,backbone,39,79,20,0,2
46,backbone,40,79,20,0,2
47,backbone,39,39,20,0,1
48,backbone,137,214,12,10,5
49,backbone,87,188,20,12,3
