node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,146,175,21,5,1
1,backbone,24,85,20,0,3
2,leaf,32,150,21,0,6
3,leaf,30,162,21,0,6
4,leaf,142,201,7,0,0
5,leaf,20,64,20,0,2
6,leaf,127,240,13,0,0
7,leaf,26,49,20,0,2
8,backbone,39,78,20,0,3
9,leaf,147,189,14,0,2
10,backbone,36,69,20,2,3
11,leaf,91,197,21,16,4
12,leaf,20,40,20,0,1
13,backbone,40,71,21,0,2
14,backbone,53,122,21,11,3
15,leaf,97,127,21,88,1
16,backbone,121,254,18,9,5
17,leaf,68,109,20,41,2
18,backbone,40,96,20,0,3
19,leaf,23,24,21,0,1
20,leaf,40,54,21,0,2
21,backbone,36,78,20,0,2
22,backbone,31,63,20,0,2
23,backbone,142,201,11,0,0
24,leaf,79,118,20,26,3
25,backbone,42,115,21,0,4
26,backbone,40,134,20,0,3
27,leaf,24,127,21,0,5
28,leaf,44,69,21,22,1
29,leaf,24,79,21,0,3
30,leaf,21,21,21,0,1
31,leaf,23,94,20,0,3
32,leaf,22,23,21,0,1
33,backbone,34,72,21,0,2
34,leaf,25,135,20,0,5
35,leaf,20,26,20,0,1
36,backbone,66,105,21,48,2
37,backbone,38,81,20,0,2
38,leaf,22,110,21,0,4
39,leaf,86,145,20,26,2
40,leaf,25,81,20,0,3
41,leaf,129,234,12,0,0
42,leaf,23,82,20,0,3
43,backbone,41,205,20,0,6
44,backbone,29,57,20,0,2
45,leaf,23,62,20,0,2
46,backbone,38,75,20,0,2
47,leaf,21,23,20,0,1
48,backbone,73,160,21,12,4
49,leaf,69,160,20,0,3
