node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,backbone,149,177,21,16,1
1,leaf,24,83,20,0,3
2,leaf,31,149,21,0,6
3,backbone,34,163,20,10,6
4,leaf,142,201,7,0,0
5,leaf,20,64,20,0,2
6,leaf,127,240,13,0,0
7,backbone,29,47,21,0,2
8,leaf,38,76,20,0,3
9,leaf,147,189,14,0,2
10,leaf,35,68,20,3,3
11,leaf,88,195,21,24,4
12,leaf,20,40,20,0,1
13,backbone,41,70,21,0,2
14,backbone,52,120,21,35,3
15,backbone,99,129,21,84,1
16,backbone,122,253,18,8,5
17,leaf,68,105,21,63,2
18,backbone,41,96,21,0,3
19,leaf,23,24,21,0,1
20,leaf,40,55,21,0,2
21,backbone,35,79,20,0,2
22,backbone,31,61,20,0,2
23,backbone,142,201,11,0,0
24,leaf,78,115,20,23,3
25,backbone,41,116,21,0,4
26,backbone,40,137,20,0,3
27,backbone,25,123,21,0,5
28,leaf,44,69,20,16,1
29,backbone,25,75,21,0,3
30,leaf,20,22,20,0,1
31,leaf,23,90,20,0,3
32,leaf,22,24,20,0,1
33,backbone,35,72,21,0,2
34,leaf,25,133,20,0,5
35,leaf,21,28,21,0,1
36,backbone,65,104,21,65,2
37,backbone,38,81,20,0,2
38,leaf,22,110,21,0,4
39,leaf,87,144,20,33,2
40,leaf,23,81,19,0,3
41,leaf,129,234,12,0,0
42,leaf,23,82,20,0,3
43,backbone,42,202,20,0,6
44,backbone,26,59,20,0,2
45,leaf,24,62,20,0,2
46,backbone,39,75,20,0,2
47,leaf,21,23,20,0,1
48,backbone,73,159,20,13,4
49,leaf,70,159,20,0,3
