t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes
0.0,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,15,0,0
2.0,0.0,0.0,0.0,30,8,36
3.0,0.0,0.0,0.0,30,21,80
4.0,0.0,0.0,0.0,30,30,102
5.0,0.0,0.0,0.0,30,30,128
6.0,0.0,0.0,0.0,36,30,128
7.0,0.0,0.0,0.0,52,30,148
8.0,0.5,1.0,0.0,60,30,183
9.0,0.3333333333333333,1.0,0.0,60,30,208
10.0,0.3333333333333333,1.0,0.0,60,30,208
11.0,0.3333333333333333,1.0,0.0,63,30,208
12.0,0.25,1.0,0.0,74,30,219
13.0,0.25,1.0,0.0,87,30,246
14.0,0.2,1.0,0.0,90,30,277
15.0,0.2,1.0,0.0,90,30,288
16.0,0.2,1.0,0.0,90,30,288
17.0,0.16666666666666666,1.0,0.0,99,33,288
18.0,0.3333333333333333,1.0,0.0,110,42,319
19.0,0.2857142857142857,1.0,0.0,120,51,380
20.0,0.2857142857142857,1.0,0.0,120,56,448
21.0,0.2857142857142857,1.0,0.0,120,60,483
22.0,0.25,1.0,0.0,122,60,530
23.0,0.25,1.0,0.0,133,60,535
24.0,0.2222222222222222,1.0,0.0,142,60,567
25.0,0.3333333333333333,1.0,0.0,150,60,586
26.0,0.3333333333333333,1.0,0.0,150,60,610
27.0,0.3,1.0,0.0,150,60,610
28.0,0.3,1.0,0.0,155,60,610
29.0,0.2727272727272727,1.0,0.0,167,60,625
30.0,0.2727272727272727,1.0,0.0,177,60,655
31.0,0.2727272727272727,1.0,0.0,180,60,682
32.0,0.25,1.0,0.0,180,61,690
33.0,0.25,1.0,0.0,183,62,690
34.0,0.23076923076923078,1.0,0.0,194,69,717
35.0,0.23076923076923078,1.0,0.0,200,81,773
36.0,0.23076923076923078,1.0,0.0,207,84,902
37.0,0.21428571428571427,1.0,0.0,210,88,927
38.0,0.21428571428571427,1.0,0.0,210,90,1006
39.0,0.2,1.0,0.0,217,90,1034
40.0,0.26666666666666666,1.0,0.0,225,90,1053
41.0,0.26666666666666666,1.0,0.0,232,90,1076
42.0,0.25,1.0,0.0,238,90,1092
43.0,0.25,1.0,0.0,240,90,1110
44.0,0.23529411764705882,1.0,0.0,243,90,1114
45.0,0.23529411764705882,1.0,0.0,249,90,1121
46.0,0.23529411764705882,1.0,0.0,258,90,1139
47.0,0.2222222222222222,1.0,0.0,263,90,1160
48.0,0.2777777777777778,1.0,0.0,269,90,1176
49.0,0.2631578947368421,1.0,0.0,271,92,1192
50.0,0.2631578947368421,1.0,0.0,276,100,1214
51.0,0.2631578947368421,1.0,0.0,281,109,1324
52.0,0.3,1.3333333333333333,0.3333333333333333,290,114,1374
53.0,0.3,1.3333333333333333,0.3333333333333333,298,117,1437
54.0,0.2857142857142857,1.3333333333333333,0.3333333333333333,300,119,1512
55.0,0.3333333333333333,1.5714285714285714,0.5714285714285714,303,120,1557
56.0,0.38095238095238093,1.625,0.625,307,120,1585
57.0,0.36363636363636365,1.625,0.625,315,120,1594
58.0,0.36363636363636365,1.625,0.625,320,120,1614
59.0,0.34782608695652173,1.625,0.625,329,120,1626
60.0,0.34782608695652173,1.625,0.625,332,120,1652
61.0,0.34782608695652173,1.625,0.625,334,120,1662
62.0,0.3333333333333333,1.625,0.625,339,120,1669
63.0,0.3333333333333333,1.625,0.625,347,120,1677
64.0,0.32,1.625,0.625,354,121,1697
65.0,0.32,1.625,0.625,360,125,1717
66.0,0.32,1.625,0.625,364,132,1768
67.0,0.3076923076923077,1.625,0.625,366,136,1898
68.0,0.3076923076923077,1.625,0.625,373,143,1901
69.0,0.2962962962962963,1.625,0.625,381,148,1973
70.0,0.3333333333333333,1.7777777777777777,0.7777777777777778,386,149,2082
71.0,0.3333333333333333,1.7777777777777777,0.7777777777777778,390,149,2107
72.0,0.32142857142857145,1.7777777777777777,0.7777777777777778,395,150,2120
73.0,0.32142857142857145,1.7777777777777777,0.7777777777777778,398,150,2153
74.0,0.3103448275862069,1.7777777777777777,0.7777777777777778,405,150,2159
75.0,0.3448275862068966,1.7,0.7,413,150,2172
76.0,0.3448275862068966,1.7,0.7,416,150,2196
77.0,0.3333333333333333,1.7,0.7,425,150,2205
78.0,0.3333333333333333,1.7,0.7,426,150,2233
79.0,0.3225806451612903,1.7,0.7,430,150,2234
80.0,0.3225806451612903,1.7,0.7,436,152,2242
81.0,0.3225806451612903,1.7,0.7,444,157,2266
82.0,0.3125,1.7,0.7,451,163,2344
83.0,0.3125,1.7,0.7,455,170,2425
84.0,0.30303030303030304,1.7,0.7,458,173,2486
85.0,0.3333333333333333,1.8181818181818181,0.8181818181818182,461,177,2516
86.0,0.3333333333333333,1.8181818181818181,0.8181818181818182,469,180,2584
87.0,0.3235294117647059,1.8181818181818181,0.8181818181818182,477,180,2644
88.0,0.3235294117647059,1.8181818181818181,0.8181818181818182,481,180,2668
89.0,0.3142857142857143,1.8181818181818181,0.8181818181818182,486,180,2683
90.0,0.3142857142857143,1.8181818181818181,0.8181818181818182,489,180,2695
91.0,0.3142857142857143,1.8181818181818181,0.8181818181818182,494,180,2701
92.0,0.3055555555555556,1.8181818181818181,0.8181818181818182,501,180,2713
93.0,0.3055555555555556,1.8181818181818181,0.8181818181818182,508,180,2730
94.0,0.2972972972972973,1.8181818181818181,0.8181818181818182,513,180,2752
95.0,0.2972972972972973,1.8181818181818181,0.8181818181818182,516,180,2767
96.0,0.2972972972972973,1.8181818181818181,0.8181818181818182,520,184,2775
97.0,0.2894736842105263,1.8181818181818181,0.8181818181818182,525,190,2874
98.0,0.2894736842105263,1.8181818181818181,0.8181818181818182,533,197,2917
99.0,0.3076923076923077,2.0833333333333335,1.0833333333333333,540,200,2968
100.0,0.3076923076923077,2.0833333333333335,1.0833333333333333,544,202,3012
101.0,0.3076923076923077,2.0833333333333335,1.0833333333333333,548,205,3062
102.0,0.3,2.0833333333333335,1.0833333333333333,552,209,3101
103.0,0.3,2.0833333333333335,1.0833333333333333,558,210,3175
104.0,0.2926829268292683,2.0833333333333335,1.0833333333333333,564,210,3199
105.0,0.2926829268292683,2.0833333333333335,1.0833333333333333,571,210,3215
106.0,0.2926829268292683,2.0833333333333335,1.0833333333333333,576,210,3236
107.0,0.2857142857142857,2.0833333333333335,1.0833333333333333,579,210,3249
108.0,0.30952380952380953,2.0,1.0,584,210,3257
