dest,next_hop,hop_count,seq_num,last_update
1,59,5,48,115.0
2,59,10,32,115.0
3,20,3,56,115.0
4,59,5,48,115.0
5,59,8,38,115.0
6,59,8,40,115.0
7,59,12,30,115.0
8,59,9,36,115.0
9,20,2,56,115.0
10,59,10,36,115.0
11,59,4,48,115.0
12,59,8,38,115.0
13,59,9,36,115.0
14,59,9,38,115.0
15,59,10,32,115.0
16,59,14,28,115.0
17,59,11,26,115.0
18,59,9,38,115.0
19,59,8,40,115.0
20,20,1,60,118.0
21,59,5,46,115.0
22,59,8,38,115.0
23,59,7,40,115.0
24,59,4,50,115.0
25,59,4,50,115.0
26,59,16,22,115.0
27,59,11,32,115.0
28,59,11,30,115.0
29,59,6,44,115.0
30,59,9,38,115.0
31,59,12,32,115.0
32,59,11,32,115.0
33,59,11,30,115.0
34,59,4,50,115.0
35,59,17,18,115.0
36,59,9,36,115.0
37,59,5,50,115.0
38,59,7,42,115.0
39,59,5,48,115.0
40,59,3,52,115.0
41,59,13,28,115.0
42,59,3,52,115.0
43,59,8,40,115.0
44,59,10,34,115.0
45,59,10,30,115.0
46,59,6,48,115.0
47,59,7,40,115.0
48,59,8,38,115.0
49,59,13,26,115.0
50,59,11,30,115.0
51,59,12,30,115.0
52,59,10,30,115.0
53,59,7,42,115.0
54,59,15,24,115.0
55,59,9,38,115.0
56,59,2,52,115.0
57,59,12,30,115.0
58,59,10,30,115.0
59,59,1,58,117.0
