t,pdr,avg_latency,avg_hops,hello,update,route_changes
0.0,0.0,0.0,0.0,0,0,0
1.0,0.0,0.0,0.0,5,0,0
2.0,0.0,0.0,0.0,10,4,6
3.0,0.0,0.0,0.0,10,9,16
4.0,0.0,0.0,0.0,10,10,16
5.0,0.0,0.0,0.0,10,10,22
6.0,0.0,0.0,0.0,14,10,22
7.0,0.0,0.0,0.0,18,10,27
8.0,0.0,0.0,0.0,20,10,35
9.0,0.0,0.0,0.0,20,10,38
10.0,0.0,0.0,0.0,20,10,38
11.0,0.0,0.0,0.0,21,10,38
12.0,0.0,0.0,0.0,26,10,39
13.0,0.25,1.0,0.0,30,10,44
14.0,0.2,1.0,0.0,30,10,54
15.0,0.2,1.0,0.0,30,10,54
16.0,0.2,1.0,0.0,30,10,54
17.0,0.16666666666666666,1.0,0.0,33,14,54
18.0,0.16666666666666666,1.0,0.0,37,14,58
19.0,0.14285714285714285,1.0,0.0,40,17,60
20.0,0.2857142857142857,1.0,0.0,40,20,70
21.0,0.2857142857142857,1.0,0.0,40,20,76
22.0,0.25,1.0,0.0,42,20,76
23.0,0.25,1.0,0.0,43,20,80
24.0,0.2222222222222222,1.0,0.0,48,20,80
