t,pdr,avg_latency_s,avg_hops,hello_packets,update_packets,route_changes,backbone_nodes
0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.0,0.0,0.0,7,0,0,0
2.0,0.0,0.0,0.0,10,0,13,0
3.0,0.0,0.0,0.0,10,4,22,0
4.0,0.0,0.0,0.0,10,6,22,0
5.0,0.0,0.0,0.0,10,10,22,0
6.0,0.0,0.0,0.0,10,10,28,0
7.0,1.0,1.0,0.0,10,10,28,0
8.0,1.0,1.0,0.0,10,10,28,0
9.0,0.5,1.0,0.0,10,10,28,0
10.0,1.0,1.0,0.0,13,10,28,0
11.0,0.6666666666666666,1.0,0.0,17,10,32,0
12.0,0.6666666666666666,1.0,0.0,19,10,41,0
13.0,0.6666666666666666,1.0,0.0,20,10,47,0
14.0,0.5,1.0,0.0,20,10,50,0
